projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesCreateTable;28-28;28-28
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesCreateView;42-42;42-42
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesReplaceView;56-56;56-56
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesRenameTable;70-70;70-70
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesRenameTable2;84-84;84-84
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesRenameTable3;98-98;98-98
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesSelectUnion;112-112;112-112
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesSelectWith;126-126;126-126
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesSelectCount;139-139;139-139
airpal;QueryExecutionAuthorizerTest;C:\Users\cebec\.jnose_projects\airpal\src\test\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizerTest.java;C:\Users\cebec\.jnose_projects\airpal\src\main\java\com\airbnb\airpal\core\execution\QueryExecutionAuthorizer.java;JUnit4;254;35;Assertion Roulette;testTableReferencesSelectStar;152-152;152-152
