projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;IgnoredTest;testRetrieveMultipleEntities;32-47;32-47
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;IgnoredTest;testRetrieveMultipleEntitiesWhenMissing;49-66;49-66
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;IgnoredTest;testRetrieveDuplicateEntries;68-86;68-86
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;Magic Number Test;testRetrieveMultipleEntities;46;46
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;Magic Number Test;testRetrieveMultipleEntitiesWhenMissing;65;65
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;Magic Number Test;testRetrieveDuplicateEntries;85;85
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;Assertion Roulette;testRetrieveMultipleEntities;46-46;46-46
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;Assertion Roulette;testRetrieveMultipleEntitiesWhenMissing;65-65;65-65
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;Assertion Roulette;testRetrieveDuplicateEntries;85-85;85-85
akvo-flow;BaseDAOTests;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\test\com\gallatinsystems\framework\dao\BaseDAOTests.java;C:\Users\cebec\.jnose_projects\akvo-flow\GAE\src\com\gallatinsystems\framework\dao\BaseDAO.java;JUnit5;87;7;Conditional Test Logic;testRetrieveMultipleEntities;39-41;39-41
