projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Unknown Test;simpleUnconfiguredDefaultCompression;84-108;84-108
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Unknown Test;mimetypeRestrictedCompression;110-137;110-137
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Unknown Test;customCompression;139-164;139-164
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;IgnoredTest;testCompressableMimetype;166-225;166-225
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;IgnoredTest;testUncompressableMimetype;227-263;227-263
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Sensitive Equality;testCompressableMimetype;216-216;216-216
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Verbose Test;testCompressableMimetype;166-225;166-225
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Verbose Test;testUncompressableMimetype;227-263;227-263
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Lazy Test;customCompression, mimetypeRestrictedCompression, simpleUnconfiguredDefaultCompression;152, 123, 96;152, 123, 96
alfresco-simple-content-stores;CompressingContentStoreTest;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\test\java\de\acosix\alfresco\simplecontentstores\repo\CompressingContentStoreTest.java;C:\Users\cebec\.jnose_projects\alfresco-simple-content-stores\src\main\java\de\acosix\alfresco\simplecontentstores\repo\store\facade\CompressingContentStore.java;JUnit4;272;12;Lazy Test;customCompression, mimetypeRestrictedCompression, simpleUnconfiguredDefaultCompression;145, 116, 90;145, 116, 90
