projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
algodat;BinarySearchTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\BinarySearchTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\BinarySearch.java;JUnit5;29;3;Lazy Test;Should_Not_Find_Element_If_Not_Present, Should_Find_Element_If_Present;25, 16;25, 16
algodat;BinarySearchTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\BinarySearchTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\BinarySearch.java;JUnit5;29;3;Assertion Roulette;Should_Find_Element_If_Present;18-18;18-18
algodat;BinarySearchTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\BinarySearchTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\BinarySearch.java;JUnit5;29;3;Assertion Roulette;Should_Not_Find_Element_If_Not_Present;27-27;27-27
algodat;BreadthFirstSearchTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\BreadthFirstSearchTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\BreadthFirstSearch.java;JUnit5;68;3;Assertion Roulette;Should_Find_Path;18-18;18-18
algodat;BreadthFirstSearchTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\BreadthFirstSearchTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\BreadthFirstSearch.java;JUnit5;68;3;Assertion Roulette;Should_Return_False_If_No_Path;27-27;27-27
algodat;DepthFirstSearchTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\DepthFirstSearchTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\DepthFirstSearch.java;JUnit5;66;3;Assertion Roulette;Should_Find_Path;17-17;17-17
algodat;DepthFirstSearchTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\DepthFirstSearchTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\DepthFirstSearch.java;JUnit5;66;3;Assertion Roulette;Should_Return_False_If_No_Path;26-26;26-26
algodat;MergeSortTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\MergeSortTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\MergeSort.java;JUnit5;18;1;Assertion Roulette;Should_Sort_Ascending;16-16;16-16
algodat;QuicksortTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\algorithms\QuicksortTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\algorithms\Quicksort.java;JUnit5;18;1;Assertion Roulette;Should_Sort_Ascending;16-16;16-16
algodat;DynamicArrayTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\datastructures\dynamicarray\DynamicArrayTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\datastructures\dynamicarray\DynamicArray.java;JUnit5;36;2;Assertion Roulette;Should_Store_Items;18-18;18-18
algodat;DynamicArrayTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\datastructures\dynamicarray\DynamicArrayTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\datastructures\dynamicarray\DynamicArray.java;JUnit5;36;2;Assertion Roulette;Should_Store_Items;19-19;19-19
algodat;DynamicArrayTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\datastructures\dynamicarray\DynamicArrayTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\datastructures\dynamicarray\DynamicArray.java;JUnit5;36;2;Assertion Roulette;Should_Store_Items;20-20;20-20
algodat;DynamicArrayTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\datastructures\dynamicarray\DynamicArrayTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\datastructures\dynamicarray\DynamicArray.java;JUnit5;36;2;Assertion Roulette;Should_Resize;32-32;32-32
algodat;DynamicArrayTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\datastructures\dynamicarray\DynamicArrayTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\datastructures\dynamicarray\DynamicArray.java;JUnit5;36;2;Assertion Roulette;Should_Resize;33-33;33-33
algodat;DynamicArrayTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\datastructures\dynamicarray\DynamicArrayTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\datastructures\dynamicarray\DynamicArray.java;JUnit5;36;2;Assertion Roulette;Should_Resize;34-34;34-34
algodat;HashTableTest;C:\Users\cebec\.jnose_projects\algodat\src\test\java\de\akull\datastructures\hashtable\HashTableTest.java;C:\Users\cebec\.jnose_projects\algodat\src\main\java\de\akull\datastructures\hashtable\HashTable.java;JUnit5;65;6;Sensitive Equality;Should_Compute_Indices_In_Range;62-62;62-62
