projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Magic Number Test;term;33;33
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Magic Number Test;term;34;34
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Magic Number Test;term;35;35
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Magic Number Test;term;36;36
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Magic Number Test;term;37;37
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Magic Number Test;term;38;38
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Assertion Roulette;term;33-33;33-33
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Assertion Roulette;term;34-34;34-34
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Assertion Roulette;term;35-35;35-35
allalgorithms-java;FibonacciTest;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\test\java\com\abranhe\allalgorithms\math\FibonacciTest.java;C:\Users\cebec\.jnose_projects\allalgorithms-java\src\main\java\com\abranhe\allalgorithms\math\Fibonacci.java;JUnit4;40;1;Assertion Roulette;term;36-36;36-36
