projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
android-mvvm;BaseViewModelTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\common\BaseViewModelTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\common\BaseViewModel.java;JUnit4;61;6;Lazy Test;testIsNotRunningWhenPaused, testIsRunningWhenResumed, testIsNotRunningWhenCreated;55, 47, 40;55, 47, 40
android-mvvm;BaseViewModelTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\common\BaseViewModelTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\common\BaseViewModel.java;JUnit4;61;6;Lazy Test;testIsNotRunningWhenPaused, testIsRunningWhenResumed, testIsNotRunningWhenCreated;55, 47, 40;55, 47, 40
android-mvvm;BaseViewModelTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\common\BaseViewModelTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\common\BaseViewModel.java;JUnit4;61;6;Assertion Roulette;testIsNotRunningWhenCreated;40-40;40-40
android-mvvm;BaseViewModelTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\common\BaseViewModelTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\common\BaseViewModel.java;JUnit4;61;6;Assertion Roulette;testIsRunningWhenResumed;47-47;47-47
android-mvvm;BaseViewModelTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\common\BaseViewModelTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\common\BaseViewModel.java;JUnit4;61;6;Assertion Roulette;testIsNotRunningWhenPaused;55-55;55-55
android-mvvm;ActivityDelegateTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegateTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegate.java;JUnit4;114;13;Unknown Test;testDestroyViewModelWhenInBackStack;63-69;63-69
android-mvvm;ActivityDelegateTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegateTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegate.java;JUnit4;114;13;Unknown Test;testNotDestroyViewModelOnConfigurationChange;71-77;71-77
android-mvvm;ActivityDelegateTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegateTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegate.java;JUnit4;114;13;Assertion Roulette;testNoNullPointerOnDestroyViewModelIfAlreadyRemoved;82-82;82-82
android-mvvm;ActivityDelegateTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegateTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegate.java;JUnit4;114;13;Assertion Roulette;testNotCacheViewModelWhenInBackStack;90-90;90-90
android-mvvm;ActivityDelegateTest;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\test\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegateTest.java;C:\Users\cebec\.jnose_projects\android-mvvm\core\src\main\java\io\github\azaiats\androidmvvm\core\delegates\ActivityDelegate.java;JUnit4;114;13;Assertion Roulette;testCacheViewModelOnConfigurationChange;98-98;98-98
