projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Resource Optimism;testActivationFromProperties;83-96;83-96
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Resource Optimism;testDeactivationFromProperties;98-112;98-112
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Resource Optimism;testMissingActiveFromProperties;114-128;114-128
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Resource Optimism;testCorruptedActiveFromProperties;130-144;130-144
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Resource Optimism;testLevels;170-222;170-222
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Verbose Test;testLevels;170-222;170-222
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Lazy Test;testIsAssertLoggable, testLevels, testCorruptedActiveFromProperties, testMissingActiveFromProperties, testDeactivationFromProperties, testActivationFromProperties, testDeactivation, testDefaultLogLevel;232, 231, 229, 228, 226, 221, 220, 219, 218, 215, 214, 213, 212, 209, 208, 207, 206, 203, 202, 201, 200, 197, 196, 195, 194, 191, 190, 187, 186, 183, 182, 181, 180, 142, 141, 126, 125, 110, 109, 94, 93, 80, 77, 74, 70, 67, 64, 55, 52, 48, 45;232, 231, 229, 228, 226, 221, 220, 219, 218, 215, 214, 213, 212, 209, 208, 207, 206, 203, 202, 201, 200, 197, 196, 195, 194, 191, 190, 187, 186, 183, 182, 181, 180, 142, 141, 126, 125, 110, 109, 94, 93, 80, 77, 74, 70, 67, 64, 55, 52, 48, 45
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Lazy Test;testIsAssertLoggable, testDeactivation;230, 79, 73, 69, 63;230, 79, 73, 69, 63
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Lazy Test;testLevels, testCorruptedActiveFromProperties, testMissingActiveFromProperties, testDeactivationFromProperties, testActivationFromProperties;176, 138, 122, 106, 90;176, 138, 122, 106, 90
androlog;LogTest;C:\Users\cebec\.jnose_projects\androlog\androlog\src\test\java\de\akquinet\android\androlog\LogTest.java;C:\Users\cebec\.jnose_projects\androlog\androlog\src\main\java\de\akquinet\android\androlog\Log.java;JUnit4;235;10;Lazy Test;testDeactivation, testDefaultLogLevel;61, 54, 51, 47, 44;61, 54, 51, 47, 44
