projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
arctic-sea;SettingValueFactoryTest;C:\Users\cebec\.jnose_projects\arctic-sea\faroe\core\src\test\java\org\n52\faroe\SettingValueFactoryTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\faroe\core\src\main\java\org\n52\faroe\SettingValueFactory.java;JUnit5;48;1;Assertion Roulette;testMultilingualStringParsing;43-43;43-43
arctic-sea;SettingValueFactoryTest;C:\Users\cebec\.jnose_projects\arctic-sea\faroe\core\src\test\java\org\n52\faroe\SettingValueFactoryTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\faroe\core\src\main\java\org\n52\faroe\SettingValueFactory.java;JUnit5;48;1;Assertion Roulette;testMultilingualStringParsing;44-44;44-44
arctic-sea;SettingValueFactoryTest;C:\Users\cebec\.jnose_projects\arctic-sea\faroe\core\src\test\java\org\n52\faroe\SettingValueFactoryTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\faroe\core\src\main\java\org\n52\faroe\SettingValueFactory.java;JUnit5;48;1;Assertion Roulette;testMultilingualStringParsing;45-45;45-45
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Lazy Test;test_GetCaps, test_GetObs, test_SoapNoPrefix, test_SoapPrefix;91, 81, 74, 67;91, 81, 74, 67
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Assertion Roulette;test_SoapPrefix;68-68;68-68
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Assertion Roulette;test_SoapPrefix;69-69;69-69
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Assertion Roulette;test_SoapNoPrefix;75-75;75-75
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Assertion Roulette;test_SoapNoPrefix;76-76;76-76
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Assertion Roulette;test_GetObs;83-83;83-83
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Assertion Roulette;test_GetObs;84-84;84-84
arctic-sea;AbstractXmlBindingTest;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\test\java\org\n52\iceland\binding\AbstractXmlBindingTest.java;C:\Users\cebec\.jnose_projects\arctic-sea\iceland\core\src\main\java\org\n52\iceland\binding\AbstractXmlBinding.java;JUnit5;98;10;Assertion Roulette;test_GetObs;85-85;85-85
