projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Lazy Test;createAllInterfaces, createSecondTestInterface, createTestInterface, testWithWrongPackage, createDynamicModule;100, 85, 70, 49, 41;100, 85, 70, 49, 41
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Lazy Test;createAllInterfaces, createSecondTestInterface, createTestInterface, testWithWrongPackage, createDynamicModule;100, 85, 70, 49, 41;100, 85, 70, 49, 41
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Lazy Test;createAllInterfaces, createSecondTestInterface, createTestInterface, testWithWrongPackage, createDynamicModule;100, 85, 70, 49, 41;100, 85, 70, 49, 41
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Lazy Test;createAllInterfaces, createSecondTestInterface, createTestInterface, testWithWrongPackage, createDynamicModule;100, 85, 70, 49, 41;100, 85, 70, 49, 41
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Assertion Roulette;createDynamicModule;42-42;42-42
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Assertion Roulette;testWithWrongPackage;50-50;50-50
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Assertion Roulette;createTestInterface;71-71;71-71
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Assertion Roulette;createTestInterface;74-74;74-74
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Assertion Roulette;createTestInterface;75-75;75-75
autobind;PackageFilterTests;C:\Users\cebec\.jnose_projects\autobind\scanner\asm\src\test\java\org\nnsoft\guice\autobind\scanner\asm\tests\autobind\filter\PackageFilterTests.java;C:\Users\cebec\.jnose_projects\autobind\core\src\main\java\org\nnsoft\guice\autobind\scanner\PackageFilter.java;JUnit4;147;8;Assertion Roulette;createTestInterface;76-76;76-76
