projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountIsEligibleForDelete_WhenDeleting_DeletedEventEmitted;51-69;51-69
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountEligibleForDebit_WhenDebiting_AccountDebitedEventEmitted;87-104;87-104
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountEligibleForCredit_WhenCrediting_AccountCreditedIsEmitted;140-157;140-157
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountExists_WhenUpdating_AccountUpdatedIsEmitted;159-174;159-174
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountExists_WhenConcludeTransferDeposit_TransactionStratedEmitted;176-191;176-191
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountExists_WhenConcludeTransfer_TransferConcludedEmitted;193-209;193-209
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountExists_WhenReleaseAccountCommmand_AccountReleasedEmitted;211-226;211-226
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountExists_WhenCancelTransferCommmand_CancelTransferEmitted;228-243;228-243
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAccountExists_WhenFailedToStartTransaction_FailedToStartEmitted;245-261;245-261
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Unknown Test;givenAcountDeletedEmitted_whenHandling_ThenMarkDeleted;328-345;328-345
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Magic Number Test;givenAcountCreatedEmitted_whenHandling_ThenUpdateIdBalanceCustomerId;277;277
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Magic Number Test;givenAcountDebitedEmitted_whenHandling_ThenUpdateBalance;302;302
banking-microservices-tutorial;AccountTest;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-cmd\src\test\java\com\ultimatesoftware\banking\account\cmd\tests\unit\isolation\AccountTest.java;C:\Users\cebec\.jnose_projects\banking-microservices-tutorial\domain-services\account-query\src\main\java\com\ultimatesoftware\banking\account\query\models\Account.java;JUnit5;440;26;Magic Number Test;givenAcountCreditedEmitted_whenHandling_ThenUpdateBalance;325;325
