projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
basic-tools;TestChecks;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestChecks.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Checks.java;JUnit4;20;1;Unknown Test;testNullOrEmpty;10-19;10-19
basic-tools;TestChecks;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestChecks.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Checks.java;JUnit4;20;1;Conditional Test Logic;testNullOrEmpty;13-15;13-15
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Unknown Test;testDates;17-20;17-20
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Unknown Test;testStr2Str;22-27;22-27
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Unknown Test;testCostTime;29-49;29-49
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Lazy Test;testCostTime, testStr2Str;33, 25;33, 25
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Lazy Test;testCostTime, testStr2Str, testDates;38, 34, 25, 24, 19;38, 34, 25, 24, 19
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Conditional Test Logic;testCostTime;32-35;32-35
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Conditional Test Logic;testCostTime;37-39;37-39
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Conditional Test Logic;testCostTime;44-46;44-46
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Print Statement;testDates;19;19
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Print Statement;testStr2Str;24;24
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Print Statement;testStr2Str;25;25
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Print Statement;testCostTime;38;38
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Print Statement;testCostTime;45;45
basic-tools;TestDates;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestDates.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\pub\Dates.java;JUnit4;58;4;Print Statement;testCostTime;48;48
basic-tools;TestExpireMap;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestExpireMap.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\collection\ExpireMap.java;JUnit4;24;2;Unknown Test;testExpireSecond;14-22;14-22
basic-tools;TestExpireMap;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestExpireMap.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\collection\ExpireMap.java;JUnit4;24;2;Sleepy Test;testExpireSecond;19-19;19-19
basic-tools;TestExpireMap;C:\Users\cebec\.jnose_projects\basic-tools\src\test\java\TestExpireMap.java;C:\Users\cebec\.jnose_projects\basic-tools\src\main\java\com\github\tools\collection\ExpireMap.java;JUnit4;24;2;Conditional Test Logic;testExpireSecond;18-21;18-21
