projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Unknown Test;drainToWithMaxElements;240-245;240-245
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;inMemoryWithoutBackgroundThreads;95;95
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;multiPageWithoutBackgroundThreads;124;124
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;multiPageWithoutBackgroundThreads;130;130
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;onDiskWithoutBackgroundThreads;160;160
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;onDiskWithBackgroundThreads;194;194
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopenEmpty;438;438
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopenEmpty;440;440
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopenEmpty;441;441
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopen;467;467
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopen;470;470
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopen;472;472
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopen;473;473
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;closeAndReopen;475;475
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;serializableSerializer;502;502
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;serializableSerializer;505;505
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;serializableSerializer;507;507
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;serializableSerializer;508;508
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Magic Number Test;serializableSerializer;510;510
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Sensitive Equality;onDiskWithBackgroundThreads;198-198;198-198
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Verbose Test;multiPageWithoutBackgroundThreads;102-135;102-135
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Verbose Test;onDiskWithoutBackgroundThreads;137-172;137-172
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Verbose Test;maxDiskCapacity;247-283;247-283
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Verbose Test;maxSize;285-322;285-322
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Verbose Test;closeAndReopen;450-483;450-483
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Verbose Test;serializableSerializer;485-518;485-518
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Duplicate Assert;multiPageWithoutBackgroundThreads;124, 130;124, 130
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Duplicate Assert;closeAndReopen;470, 475;470, 475
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Duplicate Assert;serializableSerializer;505, 510;505, 510
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;inMemoryWithoutBackgroundThreads;92-92;92-92
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;inMemoryWithoutBackgroundThreads;93-93;93-93
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;inMemoryWithoutBackgroundThreads;94-94;94-94
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;inMemoryWithoutBackgroundThreads;95-95;95-95
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;multiPageWithoutBackgroundThreads;124-124;124-124
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;multiPageWithoutBackgroundThreads;125-125;125-125
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;multiPageWithoutBackgroundThreads;126-126;126-126
basis;TestDiskBackedQueue;C:\Users\cebec\.jnose_projects\basis\basis-core\src\test\java\com\addthis\basis\collect\dbq\TestDiskBackedQueue.java;C:\Users\cebec\.jnose_projects\basis\basis-core\src\main\java\com\addthis\basis\collect\dbq\DiskBackedQueue.java;JUnit4;669;26;Assertion Roulette;multiPageWithoutBackgroundThreads;127-127;127-127
