projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Duplicate Assert;decode;56, 60;56, 60
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Assertion Roulette;decode;56-56;56-56
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Assertion Roulette;decode;60-60;60-60
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Assertion Roulette;decode;64-64;64-64
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Assertion Roulette;encode;71-71;71-71
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Assertion Roulette;encode;76-76;76-76
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Conditional Test Logic;decode;55-57;55-57
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Conditional Test Logic;decode;59-61;59-61
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Conditional Test Logic;decode;63-65;63-65
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Conditional Test Logic;encode;70-72;70-72
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Conditional Test Logic;encode;74-77;74-77
beacons-android;EddystoneURLTest;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\test\java\com\uriio\beacons\model\EddystoneURLTest.java;C:\Users\cebec\.jnose_projects\beacons-android\beacons-android\src\main\java\com\uriio\beacons\model\EddystoneURL.java;JUnit4;84;7;Conditional Test Logic;encode;79-82;79-82
