projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;Unknown Test;test;82-101;82-101
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;Unknown Test;testGetWalk;104-127;104-127
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;Conditional Test Logic;test;87-95;87-95
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;Conditional Test Logic;testGetWalk;111-121;111-121
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;General Fixture;setUp;63;63
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;General Fixture;setUp;64;64
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;General Fixture;setUp;65;65
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;General Fixture;setUp;66;66
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;General Fixture;setUp;67;67
boon;LazyValueMapTest;C:\Users\cebec\.jnose_projects\boon\json\src\test\java\io\advantageous\boon\json\core\LazyValueMapTest.java;C:\Users\cebec\.jnose_projects\boon\reflekt\src\main\java\io\advantageous\boon\core\value\LazyValueMap.java;JUnit4;224;21;General Fixture;setUp;68;68
