projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Magic Number Test;exceptionExcalation;58;58
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Magic Number Test;timeoutExcalation;75;75
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Magic Number Test;timeoutExcalation;77;77
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Magic Number Test;timeoutExcalation;80;80
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Magic Number Test;timeoutExcalation;85;85
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Duplicate Assert;exceptionExcalation;61, 65;61, 65
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Duplicate Assert;timeoutExcalation;75, 85;75, 85
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Duplicate Assert;timeoutExcalation;77, 80;77, 80
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;exceptionExcalation;58-58;58-58
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;exceptionExcalation;61-61;61-61
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;exceptionExcalation;65-65;65-65
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;exceptionExcalation;70-70;70-70
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;timeoutExcalation;75-75;75-75
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;timeoutExcalation;77-77;77-77
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;timeoutExcalation;80-80;80-80
breakr;CircuitTest;C:\Users\cebec\.jnose_projects\breakr\breakr\src\test\java\com\airhacks\breakr\CircuitTest.java;C:\Users\cebec\.jnose_projects\breakr\breakr\src\main\java\com\airhacks\breakr\Circuit.java;JUnit4;88;4;Assertion Roulette;timeoutExcalation;85-85;85-85
