projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Magic Number Test;linkedListTest1;27;27
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Eager Test;linkedListTest1;11, 35;11, 35
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Conditional Test Logic;linkedListTest1;14-16;14-16
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Conditional Test Logic;linkedListTest1;13-17;13-17
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Conditional Test Logic;linkedListTest1;20-22;20-22
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Conditional Test Logic;linkedListTest1;19-23;19-23
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Conditional Test Logic;linkedListTest1;29-32;29-32
brouter;LinkedListContainerTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\LinkedListContainerTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\LinkedListContainer.java;JUnit4;37;1;Conditional Test Logic;linkedListTest1;25-33;25-33
brouter;StatCoderContextTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\StatCoderContextTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\StatCoderContext.java;JUnit4;108;4;Verbose Test;sortedArrayEncodeDecodeTest;76-107;76-107
brouter;StatCoderContextTest;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\test\java\btools\codec\StatCoderContextTest.java;C:\Users\cebec\.jnose_projects\brouter\brouter-codec\src\main\java\btools\codec\StatCoderContext.java;JUnit4;108;4;Lazy Test;sortedArrayEncodeDecodeTest, predictedValueEncodeDecodeTest, noisySignedVarBitsEncodeDecodeTest, noisyVarBitsEncodeDecodeTest;97, 93, 64, 57, 42, 35, 20, 13;97, 93, 64, 57, 42, 35, 20, 13
