projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Resource Optimism;test_serialization;19-41;19-41
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;183;183
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;184;184
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;185;185
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;186;186
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;187;187
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;188;188
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;189;189
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;190;190
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;191;191
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;192;192
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;193;193
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;194;194
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Magic Number Test;test_intersection;195;195
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Verbose Test;test_combination;43-97;43-97
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Verbose Test;test_fold;128-162;128-162
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Verbose Test;test_intersection;164-197;164-197
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Lazy Test;test_fold, test_basic, test_combination, test_serialization;161, 150, 139, 125, 120, 115, 109, 104, 96, 70, 67, 64, 61, 55, 49, 38, 36, 25;161, 150, 139, 125, 120, 115, 109, 104, 96, 70, 67, 64, 61, 55, 49, 38, 36, 25
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Lazy Test;test_intersection, test_fold, test_basic, test_combination, test_serialization;195, 169, 168, 167, 166, 157, 153, 146, 142, 135, 131, 112, 107, 102, 57, 51, 45, 21;195, 169, 168, 167, 166, 157, 153, 146, 142, 135, 131, 112, 107, 102, 57, 51, 45, 21
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Lazy Test;test_basic, test_combination;122, 117, 74, 73, 72;122, 117, 74, 73, 72
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Lazy Test;test_intersection, test_combination, test_serialization;180, 177, 174, 171, 90, 89, 82, 80, 79, 60, 59, 58, 54, 53, 52, 48, 47, 46, 37, 24, 23, 22;180, 177, 174, 171, 90, 89, 82, 80, 79, 60, 59, 58, 54, 53, 52, 48, 47, 46, 37, 24, 23, 22
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Duplicate Assert;test_combination;55, 70;55, 70
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Duplicate Assert;test_combination;64, 67;64, 67
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Duplicate Assert;test_fold;139, 150, 161;139, 150, 161
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Eager Test;test_serialization;21, 25, 38;21, 25, 38
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Eager Test;test_combination;45, 51, 57, 89, 96;45, 51, 57, 89, 96
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Eager Test;test_basic;102, 107, 112, 125;102, 107, 112, 125
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Eager Test;test_fold;131, 135, 142, 146, 153, 157, 161;131, 135, 142, 146, 153, 157, 161
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Eager Test;test_intersection;171, 174, 177, 180, 195;171, 174, 177, 180, 195
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_serialization;25-25;25-25
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_serialization;36-36;36-36
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_serialization;38-38;38-38
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_serialization;40-40;40-40
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_combination;49-49;49-49
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_combination;55-55;55-55
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_combination;61-61;61-61
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_combination;64-64;64-64
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_combination;67-67;67-67
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_combination;70-70;70-70
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_combination;96-96;96-96
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_basic;104-104;104-104
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_basic;109-109;109-109
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_basic;115-115;115-115
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_basic;120-120;120-120
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_basic;125-125;125-125
cantor;TestHLLCounter;C:\Users\cebec\.jnose_projects\cantor\src\test\java\com\adroll\cantor\TestHLLCounter.java;C:\Users\cebec\.jnose_projects\cantor\src\main\java\com\adroll\cantor\HLLCounter.java;JUnit4;204;6;Assertion Roulette;test_fold;139-139;139-139
