projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Magic Number Test;testPinnedBishop;19;19
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Magic Number Test;testPinnedRook;30;30
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Magic Number Test;testPinnedPawn;41;41
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Lazy Test;testPinnedPawn, testPinnedRook, testPinnedBishop;39, 28, 17;39, 28, 17
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Lazy Test;testPinnedPawn, testPinnedRook, testPinnedBishop;38, 27, 16;38, 27, 16
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Eager Test;testPinnedBishop;16, 17;16, 17
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Eager Test;testPinnedRook;27, 28;27, 28
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Eager Test;testPinnedPawn;38, 39;38, 39
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Assertion Roulette;testPinnedBishop;19-19;19-19
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Assertion Roulette;testPinnedRook;30-30;30-30
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Assertion Roulette;testPinnedPawn;41-41;41-41
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Print Statement;testPinnedBishop;15;15
carballo;AttacksInfoTest;C:\Users\cebec\.jnose_projects\carballo\jse\src\test\java\com\alonsoruibal\chess\AttacksInfoTest.java;C:\Users\cebec\.jnose_projects\carballo\core\src\main\java\com\alonsoruibal\chess\bitboard\AttacksInfo.java;JUnit5;43;3;Print Statement;testPinnedBishop;18;18
