projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Magic Number Test;testParse;83;83
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Magic Number Test;testParse;96;96
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Magic Number Test;testParse;97;97
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Magic Number Test;testParse_duplicatedEntries;111;111
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Magic Number Test;testParse_duplicatedEntries;118;118
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Magic Number Test;testParse_useFilter;138;138
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Magic Number Test;testParse_ill_Lines;278;278
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Verbose Test;testParse;52-98;52-98
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Verbose Test;testParse_ill_Lines;150-279;150-279
cmake4eclipse;CMakeCacheFileParserTest;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\test\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParserTest.java;C:\Users\cebec\.jnose_projects\cmake4eclipse\de.marw.cmake4eclipse.mbs\src\main\java\de\marw\cmake4eclipse\mbs\cmakecache\CMakeCacheFileParser.java;JUnit4;281;6;Duplicate Assert;testParse;82, 95;82, 95
