projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cmakeed;CMakeCommandsTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandsTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommands.java;JUnit4;61;2;IgnoredTest;testGetCommands;32-39;32-39
cmakeed;CMakeCommandsTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandsTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommands.java;JUnit4;61;2;IgnoredTest;testGetCommand;44-60;44-60
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Magic Number Test;testUsage;81;81
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Magic Number Test;testUsage;85;85
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Redundant Assertion;testEquality;120-120;120-120
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Sensitive Equality;testToString;108-108;108-108
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Lazy Test;testEquality, testToString, testUsage, testCtorProperties;118, 117, 116, 107, 79, 66, 58, 50, 44;118, 117, 116, 107, 79, 66, 58, 50, 44
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Duplicate Assert;testCtorProperties;54, 62, 70;54, 62, 70
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Eager Test;testCtorProperties;44, 47, 50, 58, 66;44, 47, 50, 58, 66
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Eager Test;testUsage;79, 95;79, 95
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Eager Test;testToString;107, 108;107, 108
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Eager Test;testEquality;116, 117, 118, 126, 127;116, 117, 118, 126, 127
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testCtorProperties;45-45;45-45
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testCtorProperties;46-46;46-46
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testCtorProperties;47-47;47-47
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testCtorProperties;54-54;54-54
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testCtorProperties;62-62;62-62
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testCtorProperties;70-70;70-70
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testUsage;81-81;81-81
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testUsage;85-85;85-85
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testToString;108-108;108-108
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testEquality;120-120;120-120
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testEquality;121-121;121-121
cmakeed;CMakeCommandTest;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core.tests\src\com\cthing\cmakeed\core\commands\CMakeCommandTest.java;C:\Users\cebec\.jnose_projects\cmakeed\com.cthing.cmakeed.core\src\com\cthing\cmakeed\core\commands\CMakeCommand.java;JUnit3;129;11;Assertion Roulette;testEquality;122-122;122-122
