projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Unknown Test;testCallViewIsNotVisibleForPrivateAndUnknownNumbers;140-163;140-163
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Magic Number Test;testBindView_PlayButton;337;337
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Magic Number Test;testBindView_PlayButton;341;341
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testCallAndGroupViews_GroupView;173-173;173-173
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testCallAndGroupViews_StandAloneView;182-182;182-182
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testCallAndGroupViews_ChildView;191-191;191-191
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_WithQuickContactBadge;293-293;293-293
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_WithoutQuickContactBadge;304-304;304-304
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_CallButton;318-318;318-318
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_CallButton;320-320;320-320
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_PlayButton;334-335;334-335
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_PlayButton;337-338;337-338
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_PlayButton;340-342;340-342
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;Assertion Roulette;testBindView_PlayButton;344-345;344-345
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;General Fixture;setUp;110;110
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;General Fixture;setUp;115;115
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;General Fixture;setUp;123;123
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;General Fixture;setUp;124;124
contacts;CallLogFragmentTest;C:\Users\cebec\.jnose_projects\contacts\tests\src\com\android\contacts\calllog\CallLogFragmentTest.java;C:\Users\cebec\.jnose_projects\contacts\src\com\android\contacts\calllog\CallLogFragment.java;None;632;52;General Fixture;setUp;129;129
