projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Unknown Test;shouldAddCookieToSharedPreferences;88-96;88-96
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Unknown Test;shouldBeAbleToRemoveCookie;98-104;98-104
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Magic Number Test;shouldReturnAllCookies;64;64
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Magic Number Test;shouldFilterCookiesOutByUri;71;71
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Magic Number Test;shouldFilterOutExpiredCookies;78;78
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Magic Number Test;shouldReturnStoredUris;85;85
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Lazy Test;shouldBeAbleToRemoveAllCookies, shouldBeAbleToRemoveCookie, shouldAddCookieToSharedPreferences, shouldReturnStoredUris, shouldFilterOutExpiredCookies, shouldFilterCookiesOutByUri, shouldReturnAllCookies, shouldReturnNoUrisOnEmptyStore, shouldReturnNoCookiesOnEmptyStore;109, 101, 91, 84, 77, 70, 63, 56, 50;109, 101, 91, 84, 77, 70, 63, 56, 50
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Assertion Roulette;shouldReturnNoCookiesOnEmptyStore;51-51;51-51
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Assertion Roulette;shouldReturnNoUrisOnEmptyStore;57-57;57-57
cookietray;CookieTrayTest;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\test\java\com\abohomol\cookietray\CookieTrayTest.java;C:\Users\cebec\.jnose_projects\cookietray\cookietray\src\main\java\com\abohomol\cookietray\CookieTray.java;JUnit4;115;14;Assertion Roulette;shouldReturnAllCookies;64-64;64-64
