projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Magic Number Test;testCompareDates;66;66
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Magic Number Test;testCompareDates;69;69
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testNormalizeUTCDateTimeToDate;46-46;46-46
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testNormalizeUTCDateTimeToDate;49-49;49-49
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testNormalizeUTCDateTimeToDate;52-52;52-52
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testPinFloatingTime;80-80;80-80
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testPinFloatingTime;81-81;81-81
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testPinFloatingTime;85-85;85-85
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testPinFloatingTime;86-86;86-86
cosmo;ICalendarUtilsTest;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\test\unit\java\org\unitedinternet\cosmo\calendar\ICalendarUtilsTest.java;C:\Users\cebec\.jnose_projects\cosmo\cosmo-core\src\main\java\org\unitedinternet\cosmo\calendar\ICalendarUtils.java;JUnit5;115;5;Sensitive Equality;testConvertToUTC;106-106;106-106
