projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Magic Number Test;testCounterIncreases_whenIncremented;16;16
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Magic Number Test;testCounterIncreases_whenIncrementedTwice;23;23
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Magic Number Test;testCounterIncreases_whenIncrementedTwice;24;24
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Magic Number Test;testCounterIncreases_whenIncrementedByDifferentMembers;31;31
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Magic Number Test;testCountersSummed_whenTwoCountersMerged;53;53
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Assertion Roulette;testCounterIncreases_whenIncremented;16-16;16-16
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Assertion Roulette;testCounterIncreases_whenIncrementedTwice;23-23;23-23
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Assertion Roulette;testCounterIncreases_whenIncrementedTwice;24-24;24-24
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Assertion Roulette;testCounterIncreases_whenIncrementedByDifferentMembers;31-31;31-31
crdts;GCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GCounter.java;JUnit4;55;5;Assertion Roulette;testCountersSummed_whenTwoCountersMerged;53-53;53-53
crdts;GStateTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GStateTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GState.java;JUnit4;49;5;Assertion Roulette;testAdvancesState_whenIncremented;22-22;22-22
crdts;GStateTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GStateTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GState.java;JUnit4;49;5;Assertion Roulette;testAdvancesState_whenIncremented;27-27;27-27
crdts;GStateTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\GStateTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\GState.java;JUnit4;49;5;Assertion Roulette;testHighestStatePicked_whenMerged;47-47;47-47
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Magic Number Test;testIncreases_whenIncremented;15;15
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Magic Number Test;testIncreases_whenIncremented;16;16
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Magic Number Test;testDecreases_whenDecremented;26;26
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Magic Number Test;testCountCorrect_whenMerged;39;39
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Assertion Roulette;testIncreases_whenIncremented;15-15;15-15
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Assertion Roulette;testIncreases_whenIncremented;16-16;16-16
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Assertion Roulette;testDecreases_whenDecremented;26-26;26-26
crdts;PNCounterTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\counters\PNCounterTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\counters\PNCounter.java;JUnit4;41;3;Assertion Roulette;testCountCorrect_whenMerged;39-39;39-39
crdts;GSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\GSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\GSet.java;JUnit4;45;4;Assertion Roulette;testSetGrows_whenItemsAdded;22-22;22-22
crdts;GSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\GSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\GSet.java;JUnit4;45;4;Assertion Roulette;testAllItemsPresent_whenGsetsMerged;35-35;35-35
crdts;GSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\GSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\GSet.java;JUnit4;45;4;Assertion Roulette;testSetGrows_whenCollectionAdded;43-43;43-43
crdts;ORSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\ORSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\ORSet.java;JUnit4;76;6;Assertion Roulette;testContainsItem_whenAdded;20-20;20-20
crdts;ORSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\ORSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\ORSet.java;JUnit4;76;6;Assertion Roulette;testDoesntContainItem_whenRemoved;31-31;31-31
crdts;ORSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\ORSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\ORSet.java;JUnit4;76;6;Assertion Roulette;testContainsAllItems_whenMerged;44-44;44-44
crdts;ORSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\ORSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\ORSet.java;JUnit4;76;6;Assertion Roulette;testDoesntContainsItems_whenRemovedAndMerged;58-58;58-58
crdts;ORSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\ORSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\ORSet.java;JUnit4;76;6;Assertion Roulette;testAddWins_whenRemovedAndMerged;74-74;74-74
crdts;TwoPSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\TwoPSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\TwoPSet.java;JUnit4;68;6;Assertion Roulette;testElementExists_whenAdded;19-19;19-19
crdts;TwoPSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\TwoPSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\TwoPSet.java;JUnit4;68;6;Assertion Roulette;testElementDoesNotExists_whenRemoved;29-29;29-29
crdts;TwoPSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\TwoPSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\TwoPSet.java;JUnit4;68;6;Assertion Roulette;testAllAddedPresent_whenMerged;49-49;49-49
crdts;TwoPSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\TwoPSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\TwoPSet.java;JUnit4;68;6;Assertion Roulette;testAllAddedPresent_whenMerged;50-50;50-50
crdts;TwoPSetTest;C:\Users\cebec\.jnose_projects\crdts\src\test\java\crdt\sets\TwoPSetTest.java;C:\Users\cebec\.jnose_projects\crdts\src\main\java\crdt\sets\TwoPSet.java;JUnit4;68;6;Assertion Roulette;testItemNotPresent_whenRemovedInOtherSetAndMerged;66-66;66-66
