projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Unknown Test;parseValidPatterns;25-37;25-37
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Unknown Test;parseInvalidPatterns;50-62;50-62
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;IgnoredTest;testInvalidPattern;39-48;39-48
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Assertion Roulette;testInvalidPattern;44-44;44-44
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Assertion Roulette;print;66-66;66-66
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Assertion Roulette;print;67-67;67-67
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Assertion Roulette;print;68-68;68-68
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Assertion Roulette;print;69-69;69-69
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Assertion Roulette;print;70-70;70-70
cronus;CronParserTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronParserTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronParser.java;JUnit4;73;4;Exception Catching Throwing;testInvalidPattern;41-46;41-46
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Verbose Test;nextDaylightSavings;132-190;132-190
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Verbose Test;previousDaylightSavings;223-294;223-294
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Lazy Test;nextDaylightSavings, next;189, 187, 183, 178, 171, 164, 157, 151, 144, 129, 128, 126, 125, 122, 121, 118, 117, 114, 113, 111, 110, 107, 105;189, 187, 183, 178, 171, 164, 157, 151, 144, 129, 128, 126, 125, 122, 121, 118, 117, 114, 113, 111, 110, 107, 105
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Lazy Test;previousDaylightSavings, previous;293, 289, 285, 283, 278, 273, 266, 259, 252, 245, 238, 231, 220, 219, 217, 216, 213, 212, 209, 208, 205, 204, 202, 201, 198, 196;293, 289, 285, 283, 278, 273, 266, 259, 252, 245, 238, 231, 220, 219, 217, 216, 213, 212, 209, 208, 205, 204, 202, 201, 198, 196
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Lazy Test;previousDaylightSavings, previous, nextDaylightSavings, next, matches, isEmpty;276, 229, 214, 210, 206, 199, 197, 185, 181, 137, 123, 119, 115, 108, 106, 92, 88, 83, 81, 58, 56;276, 229, 214, 210, 206, 199, 197, 185, 181, 137, 123, 119, 115, 108, 106, 92, 88, 83, 81, 58, 56
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Lazy Test;previous, next, matches, isEmpty;195, 104, 79, 45, 34;195, 104, 79, 45, 34
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;isEmpty;35, 37, 39, 41, 46, 48, 50, 52, 57;35, 37, 39, 41, 46, 48, 50, 52, 57
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;isEmpty;43, 54, 59;43, 54, 59
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;matches;80, 85, 98;80, 85, 98
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;matches;82, 87, 89, 91, 94, 96;82, 87, 89, 91, 94, 96
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;next;126, 129;126, 129
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;nextDaylightSavings;163, 177;163, 177
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;nextDaylightSavings;182, 186;182, 186
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;previous;217, 220;217, 220
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;previousDaylightSavings;230, 237, 244;230, 237, 244
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;previousDaylightSavings;251, 265;251, 265
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Duplicate Assert;previousDaylightSavings;277, 282, 288;277, 282, 288
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Eager Test;isEmpty;58, 59;58, 59
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Eager Test;matches;92, 98;92, 98
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Eager Test;next;123, 129;123, 129
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Eager Test;nextDaylightSavings;185, 189;185, 189
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Eager Test;previous;214, 220;214, 220
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Eager Test;previousDaylightSavings;276, 293;276, 293
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;35-35;35-35
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;37-37;37-37
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;39-39;39-39
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;41-41;41-41
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;43-43;43-43
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;46-46;46-46
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;48-48;48-48
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;50-50;50-50
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;52-52;52-52
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;54-54;54-54
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;57-57;57-57
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;isEmpty;59-59;59-59
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;80-80;80-80
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;82-82;82-82
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;85-85;85-85
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;87-87;87-87
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;89-89;89-89
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;91-91;91-91
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;94-94;94-94
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;96-96;96-96
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;matches;98-98;98-98
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;105-105;105-105
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;107-107;107-107
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;110-110;110-110
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;111-111;111-111
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;113-113;113-113
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;114-114;114-114
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;117-117;117-117
cronus;CronPatternTest;C:\Users\cebec\.jnose_projects\cronus\src\test\java\com\addthis\cronus\CronPatternTest.java;C:\Users\cebec\.jnose_projects\cronus\src\main\java\com\addthis\cronus\CronPattern.java;JUnit4;296;9;Assertion Roulette;next;118-118;118-118
