projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
datasafe;DFSConfigWithStorageCredsTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCredsTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCreds.java;JUnit5;32;2;Assertion Roulette;defaultPrivateTemplate;23-23;23-23
datasafe;DFSConfigWithStorageCredsTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCredsTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCreds.java;JUnit5;32;2;Assertion Roulette;defaultPrivateTemplate;24-24;24-24
datasafe;DFSConfigWithStorageCredsTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCredsTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCreds.java;JUnit5;32;2;Assertion Roulette;defaultPrivateTemplate;25-25;25-25
datasafe;DFSConfigWithStorageCredsTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCredsTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCreds.java;JUnit5;32;2;Assertion Roulette;defaultPrivateTemplate;26-26;26-26
datasafe;DFSConfigWithStorageCredsTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCredsTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCreds.java;JUnit5;32;2;Assertion Roulette;defaultPrivateTemplate;27-27;27-27
datasafe;DFSConfigWithStorageCredsTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCredsTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCreds.java;JUnit5;32;2;Assertion Roulette;defaultPrivateTemplate;29-29;29-29
datasafe;DFSConfigWithStorageCredsTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCredsTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DFSConfigWithStorageCreds.java;JUnit5;32;2;Assertion Roulette;defaultPrivateTemplate;30-30;30-30
datasafe;BucketAccessServiceImplTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\dfs\BucketAccessServiceImplTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\dfs\BucketAccessServiceImpl.java;JUnit5;38;5;Assertion Roulette;privateAccessFor;25-28;25-28
datasafe;BucketAccessServiceImplTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\dfs\BucketAccessServiceImplTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\dfs\BucketAccessServiceImpl.java;JUnit5;38;5;Assertion Roulette;publicAccessFor;33-36;33-36
datasafe;DefaultDFSConfigTest;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\test\java\de\adorsys\datasafe\directory\impl\profile\dfs\DefaultDFSConfigTest.java;C:\Users\cebec\.jnose_projects\datasafe\datasafe-directory\datasafe-directory-impl\src\main\java\de\adorsys\datasafe\directory\impl\profile\config\DefaultDFSConfig.java;JUnit5;42;4;Lazy Test;checkUriWithSlash, checkURIWithSlash, checkStringWithSlash;38, 36, 28, 26, 18, 16;38, 36, 28, 26, 18, 16
