projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
diamond;DefaultDiamondManagerTest;C:\Users\cebec\.jnose_projects\diamond\diamond-client\src\test\java\com\taobao\diamond\manager\impl\DefaultDiamondManagerTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-client\src\main\java\com\taobao\diamond\manager\impl\DefaultDiamondManager.java;JUnit4;43;3;Unknown Test;testGetAvailableConfigureInfomation;36-42;36-42
diamond;DefaultDiamondManagerTest;C:\Users\cebec\.jnose_projects\diamond\diamond-client\src\test\java\com\taobao\diamond\manager\impl\DefaultDiamondManagerTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-client\src\main\java\com\taobao\diamond\manager\impl\DefaultDiamondManager.java;JUnit4;43;3;Print Statement;testGetAvailableConfigureInfomation;39;39
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Unknown Test;testInvoke;44-58;44-58
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Unknown Test;testPost;60-76;60-76
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Unknown Test;testGet;78-102;78-102
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Unknown Test;testGet2;104-107;104-107
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testInvoke;57;57
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testPost;71;71
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testPost;75;75
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testGet;89;89
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testGet;93;93
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testGet;97;97
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testGet;99;99
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testGet;101;101
diamond;HttpClientTest;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\test\java\com\taobao\diamond\httpclient\HttpClientTest.java;C:\Users\cebec\.jnose_projects\diamond\diamond-utils\src\main\java\com\taobao\diamond\httpclient\HttpClient.java;JUnit4;108;7;Print Statement;testGet2;106;106
