projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
drools-training;InvalidPassportTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\domain\InvalidPassportTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\domain\InvalidPassport.java;JUnit5;53;1;IgnoredTest;testEquals;22-52;22-52
drools-training;InvalidPassportTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\domain\InvalidPassportTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\domain\InvalidPassport.java;JUnit5;53;1;Duplicate Assert;testEquals;49, 50;49, 50
drools-training;InvalidPassportTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\domain\InvalidPassportTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\domain\InvalidPassport.java;JUnit5;53;1;Assertion Roulette;testEquals;49-49;49-49
drools-training;InvalidPassportTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\domain\InvalidPassportTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\domain\InvalidPassport.java;JUnit5;53;1;Assertion Roulette;testEquals;50-50;50-50
drools-training;ValidPassportTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\domain\ValidPassportTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\domain\ValidPassport.java;JUnit5;46;1;IgnoredTest;testEquals;21-45;21-45
drools-training;ValidPassportTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\domain\ValidPassportTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\domain\ValidPassport.java;JUnit5;46;1;Assertion Roulette;testEquals;43-43;43-43
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;IgnoredTest;testStep1_recordSystemOut_correctOutput;22-35;22-35
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;IgnoredTest;testStep2_recordSystemOut_correctOutput;37-50;37-50
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;IgnoredTest;testStep3_recordSystemOut_correctOutput;52-65;52-65
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;IgnoredTest;testStep4_recordSystemOut_correctOutput;67-86;67-86
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;IgnoredTest;testStep5_recordSystemOut_correctOutput;88-109;88-109
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;IgnoredTest;testStep6_recordSystemOut_correctOutput;111-132;111-132
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;Lazy Test;testStep6_recordSystemOut_correctOutput, testStep5_recordSystemOut_correctOutput, testStep4_recordSystemOut_correctOutput, testStep3_recordSystemOut_correctOutput, testStep2_recordSystemOut_correctOutput, testStep1_recordSystemOut_correctOutput;114, 91, 70, 55, 40, 25;114, 91, 70, 55, 40, 25
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;Assertion Roulette;testStep1_recordSystemOut_correctOutput;27-27;27-27
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;Assertion Roulette;testStep2_recordSystemOut_correctOutput;42-42;42-42
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;Assertion Roulette;testStep3_recordSystemOut_correctOutput;57-57;57-57
drools-training;StatelessPassportValidationTest;C:\Users\cebec\.jnose_projects\drools-training\src\test\java\io\github\aasaru\drools\section03\StatelessPassportValidationTest.java;C:\Users\cebec\.jnose_projects\drools-training\src\main\java\io\github\aasaru\drools\section03\StatelessPassportValidation.java;JUnit5;134;6;Assertion Roulette;testStep4_recordSystemOut_correctOutput;72-72;72-72
