projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeJava;58-61;58-61
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeJavaAllRules;66-81;66-81
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeXML;86-89;86-89
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeXMLAllRules;94-97;94-97
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeJSP;102-105;102-105
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeJSPAllRules;110-113;110-113
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeModelica;118-123;118-123
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeModelicaAllRules;128-131;128-131
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeXSL;136-140;136-140
eclipse-pmd;AnalyzerTest;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core.tests\src\ch\acanda\eclipse\pmd\builder\AnalyzerTest.java;C:\Users\cebec\.jnose_projects\eclipse-pmd\ch.acanda.eclipse.pmd.core\src\ch\acanda\eclipse\pmd\builder\Analyzer.java;JUnit4;341;27;Unknown Test;analyzeXSLAllRules;145-148;145-148
