projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Unknown Test;testConstructor;34-38;34-38
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Lazy Test;testConstructor, testGetIndexNameNoStar, testGetIndexNameStar;37, 36, 27, 15;37, 36, 27, 15
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Lazy Test;testGetIndexNameNoStar, testGetIndexNameStar;31, 21, 20;31, 21, 20
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Duplicate Assert;testGetIndexNameStar;20, 21;20, 21
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Eager Test;testGetIndexNameStar;15, 20, 21;15, 20, 21
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Eager Test;testGetIndexNameNoStar;27, 31;27, 31
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Assertion Roulette;testGetIndexNameStar;20-20;20-20
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Assertion Roulette;testGetIndexNameStar;21-21;21-21
ecmwf-dataset-crawl;CrawlStatusUpdaterBoltTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\CrawlStatusUpdaterBoltTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\CrawlStatusUpdaterBolt.java;JUnit4;39;3;Assertion Roulette;testGetIndexNameNoStar;31-31;31-31
ecmwf-dataset-crawl;LuceneScoreFilterTest;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\test\java\org\n52\webcrawl\LuceneScoreFilterTest.java;C:\Users\cebec\.jnose_projects\ecmwf-dataset-crawl\crawler\src\main\java\org\n52\webcrawl\LuceneScoreFilter.java;JUnit4;108;6;Magic Number Test;checkMetadata;31;31
