projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Lazy Test;jsonToNashornPipelineSerialization, jsonPipelineSerialization, jaxbCSVPipelineSerialization, jaxbJDBCPipelineSerialization;87, 77, 67, 57;87, 77, 67, 57
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jaxbJDBCPipelineSerialization;58-58;58-58
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jaxbJDBCPipelineSerialization;59-59;59-59
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jaxbCSVPipelineSerialization;68-68;68-68
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jaxbCSVPipelineSerialization;69-69;69-69
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jsonPipelineSerialization;78-78;78-78
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jsonPipelineSerialization;79-79;79-79
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jsonToNashornPipelineSerialization;88-88;88-88
enhydrator;PipelineTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PipelineTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Pipeline.java;JUnit4;186;8;Assertion Roulette;jsonToNashornPipelineSerialization;89-89;89-89
enhydrator;PlumberTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PlumberTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Plumber.java;JUnit4;59;2;Lazy Test;readConfigurationFromInputStream, writeAndReadConfiguration;50, 40;50, 40
enhydrator;PlumberTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PlumberTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Plumber.java;JUnit4;59;2;Lazy Test;readConfigurationFromInputStream, writeAndReadConfiguration;48, 38;48, 38
enhydrator;PlumberTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PlumberTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Plumber.java;JUnit4;59;2;Eager Test;writeAndReadConfiguration;38, 41;38, 41
enhydrator;PlumberTest;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\test\java\com\airhacks\enhydrator\flexpipe\PlumberTest.java;C:\Users\cebec\.jnose_projects\enhydrator\enhydrator\src\main\java\com\airhacks\enhydrator\flexpipe\Plumber.java;JUnit4;59;2;Eager Test;readConfigurationFromInputStream;50, 52, 54;50, 52, 54
