projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Unknown Test;payloadsDisabled;52-68;52-68
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Unknown Test;noPayloadsForNoChanges;70-84;70-84
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Unknown Test;singlePayload;86-103;86-103
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Unknown Test;batchPayload;105-125;105-125
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Unknown Test;multiplePayloads;127-149;127-149
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Assertion Roulette;getSingleModelFromPayload;157-157;157-157
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Assertion Roulette;returnsNullWhenNoModelFoundInPayload;166-166;166-166
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Assertion Roulette;returnsNullForEmptyPayload;174-174;174-174
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Assertion Roulette;getMultipleModelsFromPayload;186-186;186-186
epoxy;DiffPayloadTest;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\test\java\com\airbnb\epoxy\DiffPayloadTest.java;C:\Users\cebec\.jnose_projects\epoxy\epoxy-adapter\src\main\java\com\airbnb\epoxy\DiffPayload.java;JUnit4;258;19;Assertion Roulette;getMultipleModelsFromPayload;187-187;187-187
