projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Resource Optimism;testReturnTypeConverters;39-55;39-55
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Magic Number Test;testReturnTypeConverters;53;53
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Assertion Roulette;testReturnTypeConverters;46-46;46-46
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Assertion Roulette;testReturnTypeConverters;47-47;47-47
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Assertion Roulette;testReturnTypeConverters;50-50;50-50
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Assertion Roulette;testReturnTypeConverters;51-51;51-51
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Assertion Roulette;testReturnTypeConverters;53-53;53-53
eth-contract-api;EthereumFacadeTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\ethereum\EthereumFacadeTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\EthereumFacade.java;JUnit4;112;11;Print Statement;testReturnTypeConverters;45;45
eth-contract-api;KeystoreTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\util\KeystoreTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\keystore\Keystore.java;JUnit4;23;1;Resource Optimism;test;18-22;18-22
eth-contract-api;KeystoreTest;C:\Users\cebec\.jnose_projects\eth-contract-api\src\test\java\org\adridadou\util\KeystoreTest.java;C:\Users\cebec\.jnose_projects\eth-contract-api\src\main\java\org\adridadou\ethereum\keystore\Keystore.java;JUnit4;23;1;Assertion Roulette;test;21-21;21-21
