projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
features-javac;AssignabilityAnalysisTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AssignabilityAnalysisTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\semantic\AssignabilityAnalysis.java;JUnit4;102;2;Verbose Test;assignabilityAnalysis_doesNotIntroduceAssignableEdgeBetweenUnassignableClasses;32-66;32-66
features-javac;AssignabilityAnalysisTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AssignabilityAnalysisTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\semantic\AssignabilityAnalysis.java;JUnit4;102;2;Verbose Test;assignabilityAnalysis_doesNotIntroduceAssignableEdgeBetweenAssignableClasses;68-101;68-101
features-javac;AssignabilityAnalysisTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AssignabilityAnalysisTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\semantic\AssignabilityAnalysis.java;JUnit4;102;2;Assertion Roulette;assignabilityAnalysis_doesNotIntroduceAssignableEdgeBetweenUnassignableClasses;58-60;58-60
features-javac;AssignabilityAnalysisTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AssignabilityAnalysisTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\semantic\AssignabilityAnalysis.java;JUnit4;102;2;Assertion Roulette;assignabilityAnalysis_doesNotIntroduceAssignableEdgeBetweenUnassignableClasses;62-64;62-64
features-javac;AssignabilityAnalysisTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AssignabilityAnalysisTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\semantic\AssignabilityAnalysis.java;JUnit4;102;2;Assertion Roulette;assignabilityAnalysis_doesNotIntroduceAssignableEdgeBetweenAssignableClasses;93-95;93-95
features-javac;AssignabilityAnalysisTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AssignabilityAnalysisTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\semantic\AssignabilityAnalysis.java;JUnit4;102;2;Assertion Roulette;assignabilityAnalysis_doesNotIntroduceAssignableEdgeBetweenAssignableClasses;97-99;97-99
features-javac;AstScannerTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AstScannerTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\AstScanner.java;JUnit4;179;6;Assertion Roulette;astScanner_escapesStringLiteral_emptyQuotes;55-55;55-55
features-javac;AstScannerTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AstScannerTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\AstScanner.java;JUnit4;179;6;Assertion Roulette;astScanner_escapesStringLiteral_withQuoteInIt;77-77;77-77
features-javac;AstScannerTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AstScannerTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\AstScanner.java;JUnit4;179;6;Assertion Roulette;astScanner_producesTree_whenAnonymousInnerClass;104-104;104-104
features-javac;AstScannerTest;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\test\java\uk\ac\cam\acr31\features\javac\AstScannerTest.java;C:\Users\cebec\.jnose_projects\features-javac\extractor\src\main\java\uk\ac\cam\acr31\features\javac\AstScanner.java;JUnit4;179;6;Assertion Roulette;astScanner_addsNameNode_toConstructorDefinitions;130-130;130-130
