projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
firehose;MetricTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\collector\entity\MetricTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\collector\entity\Metric.java;JUnit4;55;2;Lazy Test;creationWithValueAsNumberAndString, serialization;48, 37, 19;48, 37, 19
firehose;MetricTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\collector\entity\MetricTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\collector\entity\Metric.java;JUnit4;55;2;Lazy Test;creationWithValueAsNumberAndString, serialization;49, 38, 23;49, 38, 23
firehose;MetricTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\collector\entity\MetricTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\collector\entity\Metric.java;JUnit4;55;2;Eager Test;serialization;19, 23;19, 23
firehose;MetricTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\collector\entity\MetricTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\collector\entity\Metric.java;JUnit4;55;2;Eager Test;creationWithValueAsNumberAndString;37, 38, 48, 49;37, 38, 48, 49
firehose;MetricTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\collector\entity\MetricTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\collector\entity\Metric.java;JUnit4;55;2;Assertion Roulette;serialization;24-24;24-24
firehose;MetricTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\collector\entity\MetricTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\collector\entity\Metric.java;JUnit4;55;2;Assertion Roulette;creationWithValueAsNumberAndString;50-50;50-50
firehose;EnvironmentVariablesTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\configuration\control\EnvironmentVariablesTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\configuration\control\EnvironmentVariables.java;JUnit4;64;4;Magic Number Test;configurationNames;41;41
firehose;EnvironmentVariablesTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\configuration\control\EnvironmentVariablesTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\configuration\control\EnvironmentVariables.java;JUnit4;64;4;Magic Number Test;getConfiguration;57;57
firehose;EnvironmentVariablesTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\configuration\control\EnvironmentVariablesTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\configuration\control\EnvironmentVariables.java;JUnit4;64;4;Assertion Roulette;extractConfigurationName;25-25;25-25
firehose;EnvironmentVariablesTest;C:\Users\cebec\.jnose_projects\firehose\firehose\src\test\java\com\airhacks\firehose\configuration\control\EnvironmentVariablesTest.java;C:\Users\cebec\.jnose_projects\firehose\firehose\src\main\java\com\airhacks\firehose\configuration\control\EnvironmentVariables.java;JUnit4;64;4;Assertion Roulette;extractKeyName;31-31;31-31
