projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
fitnotifications;GroupSummaryMessageExtractorTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractorTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractor.java;JUnit4;261;13;Verbose Test;testTelegramStyleMessagesPattern;26-73;26-73
fitnotifications;GroupSummaryMessageExtractorTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractorTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractor.java;JUnit4;261;13;Verbose Test;testWhatsAppStyleMessagesPattern;76-123;76-123
fitnotifications;GroupSummaryMessageExtractorTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractorTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractor.java;JUnit4;261;13;Lazy Test;testPhotoMessages, testLocalizedSummary, testRepeatedText, testSameMessageInMultipleChats, testWhatsAppStyleMessagesPattern, testTelegramStyleMessagesPattern;195, 172, 146, 128, 78, 28;195, 172, 146, 128, 78, 28
fitnotifications;GroupSummaryMessageExtractorTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractorTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractor.java;JUnit4;261;13;Duplicate Assert;testWhatsAppStyleMessagesPattern;84, 92, 100, 112;84, 92, 100, 112
fitnotifications;GroupSummaryMessageExtractorTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractorTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractor.java;JUnit4;261;13;Duplicate Assert;testWhatsAppStyleMessagesPattern;103, 115;103, 115
fitnotifications;GroupSummaryMessageExtractorTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractorTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\services\GroupSummaryMessageExtractor.java;JUnit4;261;13;Duplicate Assert;testLocalizedSummary;177, 184;177, 184
fitnotifications;TranslitUtilTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtilTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtil.java;JUnit4;65;2;Verbose Test;testRussianTransliteration;13-47;13-47
fitnotifications;TranslitUtilTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtilTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtil.java;JUnit4;65;2;Lazy Test;testEmojiTransliteration, testRussianTransliteration;60, 40;60, 40
fitnotifications;TranslitUtilTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtilTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtil.java;JUnit4;65;2;Assertion Roulette;testRussianTransliteration;42-43;42-43
fitnotifications;TranslitUtilTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtilTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtil.java;JUnit4;65;2;Assertion Roulette;testRussianTransliteration;45-46;45-46
fitnotifications;TranslitUtilTest;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\test\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtilTest.java;C:\Users\cebec\.jnose_projects\fitnotifications\app\src\main\java\com\abhijitvalluri\android\fitnotifications\utils\TranslitUtil.java;JUnit4;65;2;Assertion Roulette;testEmojiTransliteration;62-63;62-63
