projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
flink-neo4j;Neo4JInputFormatTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\batch\neo4j\Neo4JInputFormatTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\batch\neo4j\Neo4JInputFormat.java;JUnit4;69;3;Assertion Roulette;testInputFormatCount;47-47;47-47
flink-neo4j;Neo4JInputFormatTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\batch\neo4j\Neo4JInputFormatTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\batch\neo4j\Neo4JInputFormat.java;JUnit4;69;3;Assertion Roulette;testSession;63-63;63-63
flink-neo4j;Neo4JInputFormatTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\batch\neo4j\Neo4JInputFormatTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\batch\neo4j\Neo4JInputFormat.java;JUnit4;69;3;Assertion Roulette;testSession;67-67;67-67
flink-neo4j;Neo4JOutputFormatTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\batch\neo4j\Neo4JOutputFormatTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\batch\neo4j\Neo4JOutputFormat.java;JUnit4;74;5;Unknown Test;testOutputFormatCount;38-54;38-54
flink-neo4j;Neo4JOutputFormatTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\batch\neo4j\Neo4JOutputFormatTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\batch\neo4j\Neo4JOutputFormat.java;JUnit4;74;5;Assertion Roulette;testSession;68-68;68-68
flink-neo4j;Neo4JOutputFormatTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\batch\neo4j\Neo4JOutputFormatTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\batch\neo4j\Neo4JOutputFormat.java;JUnit4;74;5;Assertion Roulette;testSession;72-72;72-72
flink-neo4j;DeserializationMapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\mapping\neo4j\DeserializationMapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\mapping\neo4j\DeserializationMapper.java;JUnit4;31;1;Sensitive Equality;testStringValuesMapper;29-29;29-29
flink-neo4j;DeserializationMapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\mapping\neo4j\DeserializationMapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\mapping\neo4j\DeserializationMapper.java;JUnit4;31;1;Assertion Roulette;testStringValuesMapper;24-24;24-24
flink-neo4j;DeserializationMapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\mapping\neo4j\DeserializationMapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\mapping\neo4j\DeserializationMapper.java;JUnit4;31;1;Assertion Roulette;testStringValuesMapper;25-25;25-25
flink-neo4j;DeserializationMapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\mapping\neo4j\DeserializationMapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\mapping\neo4j\DeserializationMapper.java;JUnit4;31;1;Assertion Roulette;testStringValuesMapper;28-28;28-28
flink-neo4j;DeserializationMapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\mapping\neo4j\DeserializationMapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\mapping\neo4j\DeserializationMapper.java;JUnit4;31;1;Assertion Roulette;testStringValuesMapper;29-29;29-29
flink-neo4j;Neo4JDeserializationMappingStrategyTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\mapping\neo4j\Neo4JDeserializationMappingStrategyTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\mapping\neo4j\Neo4JDeserializationMappingStrategy.java;JUnit4;28;2;Assertion Roulette;testMappingStrategy;25-25;25-25
flink-neo4j;Neo4JDeserializationMappingStrategyTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\mapping\neo4j\Neo4JDeserializationMappingStrategyTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\mapping\neo4j\Neo4JDeserializationMappingStrategy.java;JUnit4;28;2;Assertion Roulette;testMappingStrategy;26-26;26-26
flink-neo4j;Neo4JDriverWrapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapper.java;JUnit4;37;2;Assertion Roulette;testConfiguration;21-21;21-21
flink-neo4j;Neo4JDriverWrapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapper.java;JUnit4;37;2;Assertion Roulette;testConfiguration;22-22;22-22
flink-neo4j;Neo4JDriverWrapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapper.java;JUnit4;37;2;Assertion Roulette;testConnection;27-27;27-27
flink-neo4j;Neo4JDriverWrapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapper.java;JUnit4;37;2;Assertion Roulette;testConnection;29-29;29-29
flink-neo4j;Neo4JDriverWrapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapper.java;JUnit4;37;2;Assertion Roulette;testConnection;32-32;32-32
flink-neo4j;Neo4JDriverWrapperTest;C:\Users\cebec\.jnose_projects\flink-neo4j\src\test\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapperTest.java;C:\Users\cebec\.jnose_projects\flink-neo4j\src\main\java\org\apache\flink\streaming\connectors\neo4j\Neo4JDriverWrapper.java;JUnit4;37;2;Assertion Roulette;testConnection;33-33;33-33
