projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
graylog-plugin-logging-alert;LoggingNotificationConfigTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\LoggingNotificationConfigTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\LoggingNotificationConfig.java;JUnit4;79;5;Assertion Roulette;testValidateWithEmptyConfig;68-68;68-68
graylog-plugin-logging-alert;LoggingNotificationConfigTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\LoggingNotificationConfigTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\LoggingNotificationConfig.java;JUnit4;79;5;Assertion Roulette;testValidateLoggingAlertNotification;76-76;76-76
graylog-plugin-logging-alert;LoggingNotificationConfigTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\LoggingNotificationConfigTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\LoggingNotificationConfig.java;JUnit4;79;5;Assertion Roulette;testValidateLoggingAlertNotification;77-77;77-77
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Unknown Test;buildMessagesUrlShouldNotFailWhenSplitFieldIsInteger;162-172;162-172
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Unknown Test;buildMessagesUrlShouldNotFailWhenSplitFieldIsNotPresent;174-183;174-183
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Unknown Test;getStreamSearchUrlShouldNotFailWhenThereIsNoJobTrigger;199-205;199-205
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Unknown Test;getStreamSearchUrlShouldNotFailWhenThereIsNoTimerangeStart;207-214;207-214
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Unknown Test;getStreamSearchUrlShouldNotFailWhenThereIsNoTimerangeEnd;216-223;216-223
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Assertion Roulette;buildMessagesUrlShouldEscapeBackslash;146-146;146-146
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Assertion Roulette;buildMessagesUrlShouldEscapeDoubleQuotes;159-159;159-159
graylog-plugin-logging-alert;MessagesURLBuilderTest;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\test\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilderTest.java;C:\Users\cebec\.jnose_projects\graylog-plugin-logging-alert\src\main\java\com\airbus_cyber_security\graylog\events\notifications\types\MessagesURLBuilder.java;JUnit4;224;17;Assertion Roulette;getStreamSearchUrlShouldComputeTheSameTimeRangeAsbuildMessagesUrlIssue47;196-196;196-196
