projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Magic Number Test;createCitySuccessful;55;55
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Verbose Test;dropCitySuccessful;68-99;68-99
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Verbose Test;showClientsByCitySuccessful;197-240;197-240
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;createCitySuccessful;55-55;55-55
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;dropCitySuccessful;91-91;91-91
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;dropCitySuccessful;95-95;95-95
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;dropCitySuccessful;96-96;96-96
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;dropCitySuccessful;97-97;97-97
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;showCitySuccessful;147-147;147-147
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;showCitySuccessful;148-148;148-148
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;showAllCitySuccessful1;181-181;181-181
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;showAllCitySuccessful1;179-179;179-179
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;showAllCitySuccessful2;189-189;189-189
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;showClientsByCitySuccessful;237-237;237-237
greengo;ASCityTest;C:\Users\cebec\.jnose_projects\greengo\test\business\city\ASCityTest.java;C:\Users\cebec\.jnose_projects\greengo\src\business\city\as\ASCity.java;JUnit5;293;33;Assertion Roulette;showClientsByCitySuccessful;238-238;238-238
