projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testImmutableMap_2, testImmutableMap_1;165, 156;165, 156
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testMultiSet_3, testMultiSet_2, testMultiSet_1;87, 77, 67;87, 77, 67
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testImmutableMultiSet_2, testImmutableMultiSet_1;107, 97;107, 97
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testImmutableSortedSetSupplierOfBuilderOfT_2, testImmutableSortedSetSupplierOfBuilderOfT_1, testImmutableSortedSetReversed_2, testImmutableSortedSetReversed_1;147, 136, 125, 116;147, 136, 125, 116
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testImmutableList_2, testImmutableList_1;41, 33;41, 33
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testMultimap_Parallel, testMultimap;258, 248;258, 248
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testTable_2, testTable_1;230, 217;230, 217
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testIterableMultimap_Parallel, testIterableMultimap;278, 268;278, 268
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testImmutableTable_2, testImmutableTable_1;205, 192;205, 192
guava-collectors;GuavaCollectorsTest;C:\Users\cebec\.jnose_projects\guava-collectors\src\test\java\com\tyler\collectors\GuavaCollectorsTest.java;C:\Users\cebec\.jnose_projects\guava-collectors\src\main\java\com\tyler\collectors\GuavaCollectors.java;JUnit4;283;26;Lazy Test;testImmutableBiMap_2, testImmutableBiMap_1;183, 174;183, 174
