projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Unknown Test;addToken;19-23;19-23
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Unknown Test;refreshToken;25-31;25-31
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Unknown Test;deleteToken;33-39;33-39
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Unknown Test;addAuth;41-51;41-51
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Unknown Test;deleteAuth;53-59;53-59
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Conditional Test Logic;deleteToken;36-38;36-38
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Conditional Test Logic;addAuth;44-50;44-50
hbase-oss;AuthServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\authmgr\AuthServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\authmgr\AuthService.java;JUnit4;60;6;Conditional Test Logic;deleteAuth;56-58;56-58
hbase-oss;UserServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\usermgr\UserServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\usermgr\UserService.java;JUnit4;33;4;Unknown Test;addUser;16-20;16-20
hbase-oss;UserServiceTest;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\test\java\com\salmon\oss\core\usermgr\UserServiceTest.java;C:\Users\cebec\.jnose_projects\hbase-oss\oss-core\src\main\java\com\salmon\oss\core\usermgr\UserService.java;JUnit4;33;4;Unknown Test;getUser;22-26;22-26
