projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;streamFactorial_should_work_with_1;12;12
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;streamFactorial_should_work_with_2;17;17
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;streamFactorial_should_work_with_3;22;22
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;stackFactorial_should_work_with_1;27;27
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;stackFactorial_should_work_with_2;32;32
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;stackFactorial_should_work_with_3;37;37
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;should_have_equal_factorials_of_555;42;42
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Magic Number Test;should_have_equal_factorials_of_1234;47;47
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Lazy Test;should_not_throw_stack_overflow, should_have_equal_factorials_of_1234, should_have_equal_factorials_of_555, streamFactorial_should_work_with_3, streamFactorial_should_work_with_2, streamFactorial_should_work_with_1;57, 47, 42, 22, 17, 12;57, 47, 42, 22, 17, 12
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Lazy Test;should_throw_stack_overflow, should_have_equal_factorials_of_1234, should_have_equal_factorials_of_555, stackFactorial_should_work_with_3, stackFactorial_should_work_with_2, stackFactorial_should_work_with_1;52, 47, 42, 37, 32, 27;52, 47, 42, 37, 32, 27
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;streamFactorial_should_work_with_1;12-12;12-12
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;streamFactorial_should_work_with_2;17-17;17-17
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;streamFactorial_should_work_with_3;22-22;22-22
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;stackFactorial_should_work_with_1;27-27;27-27
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;stackFactorial_should_work_with_2;32-32;32-32
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;stackFactorial_should_work_with_3;37-37;37-37
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;should_have_equal_factorials_of_555;42-42;42-42
hellojava8;TailTest;C:\Users\cebec\.jnose_projects\hellojava8\TailTest.java;C:\Users\cebec\.jnose_projects\hellojava8\Tail.java;JUnit4;60;10;Assertion Roulette;should_have_equal_factorials_of_1234;47-47;47-47
