projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testIndexAndSearch;49;49
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testIndexAndSearch;52;52
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testIndexAndSearch;53;53
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testIndexAndSearch;54;54
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testIndexAndSearch;60;60
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testNoResults;73;73
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testNoResults;74;74
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testCollectionFiltering;96;96
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testCollectionFiltering;101;101
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testCollectionFiltering;104;104
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testCollectionFiltering;109;109
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testDebugInfo;126;126
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testDebugInfo;133;133
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testResultGrouping;158;158
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testAgeBoosting;187;187
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testAgeBoosting;203;203
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Magic Number Test;testAgeBoosting;204;204
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Sensitive Equality;testIndexAndSearch;59-59;59-59
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Verbose Test;testIndexAndSearch;33-67;33-67
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Verbose Test;testCollectionFiltering;80-113;80-113
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Verbose Test;testAgeBoosting;168-209;168-209
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Lazy Test;testAgeBoosting, testResultGrouping, testDebugInfo, testCollectionFiltering, testNoResults, testIndexAndSearch;186, 157, 132, 125, 103, 95, 72, 48;186, 157, 132, 125, 103, 95, 72, 48
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Lazy Test;testAgeBoosting, testResultGrouping, testDebugInfo, testCollectionFiltering, testIndexAndSearch;184, 180, 176, 155, 152, 123, 93, 88, 46, 41;184, 180, 176, 155, 152, 123, 93, 88, 46, 41
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Duplicate Assert;testCollectionFiltering;96, 104;96, 104
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Duplicate Assert;testCollectionFiltering;101, 109;101, 109
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Duplicate Assert;testDebugInfo;126, 133;126, 133
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;49-49;49-49
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;51-51;51-51
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;52-52;52-52
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;53-53;53-53
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;54-54;54-54
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;57-57;57-57
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;58-58;58-58
historybook;IndexTest;C:\Users\cebec\.jnose_projects\historybook\src\test\java\com\difference\historybook\index\IndexTest.java;C:\Users\cebec\.jnose_projects\historybook\src\main\java\com\difference\historybook\index\Index.java;JUnit4;210;7;Assertion Roulette;testIndexAndSearch;59-59;59-59
