projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
html-exporter;StyleMapTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMapTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMap.java;JUnit4;54;1;Eager Test;testGetInlineStyle;44;44
html-exporter;StyleMapTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMapTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMap.java;JUnit4;54;1;Assertion Roulette;testGetInlineStyle;45-45;45-45
html-exporter;StyleMapTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMapTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMap.java;JUnit4;54;1;Assertion Roulette;testGetInlineStyle;48-48;48-48
html-exporter;StyleMapTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMapTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMap.java;JUnit4;54;1;Assertion Roulette;testGetInlineStyle;49-49;49-49
html-exporter;StyleMapTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMapTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMap.java;JUnit4;54;1;Assertion Roulette;testGetInlineStyle;50-50;50-50
html-exporter;StyleMapTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMapTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMap.java;JUnit4;54;1;Assertion Roulette;testGetInlineStyle;51-51;51-51
html-exporter;StyleMapTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMapTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMap.java;JUnit4;54;1;Assertion Roulette;testGetInlineStyle;52-52;52-52
html-exporter;StyleMergerTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMergerTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMerger.java;JUnit4;55;1;Assertion Roulette;testMergeStyles;48-48;48-48
html-exporter;StyleMergerTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMergerTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMerger.java;JUnit4;55;1;Assertion Roulette;testMergeStyles;49-49;49-49
html-exporter;StyleMergerTest;C:\Users\cebec\.jnose_projects\html-exporter\src\test\java\uk\co\certait\htmlexporter\css\StyleMergerTest.java;C:\Users\cebec\.jnose_projects\html-exporter\src\main\java\uk\co\certait\htmlexporter\css\StyleMerger.java;JUnit4;55;1;Assertion Roulette;testMergeStyles;50-50;50-50
