projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
httpsig-java;ConstantsTest;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\test\java\net\adamcin\httpsig\api\ConstantsTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\main\java\net\adamcin\httpsig\api\Constants.java;JUnit4;119;4;Conditional Test Logic;testParseRFC2617;110-112;110-112
httpsig-java;ConstantsTest;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\test\java\net\adamcin\httpsig\api\ConstantsTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\main\java\net\adamcin\httpsig\api\Constants.java;JUnit4;119;4;Conditional Test Logic;testParseRFC2617;115-117;115-117
httpsig-java;DefaultVerifierTest;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\test\java\net\adamcin\httpsig\api\DefaultVerifierTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\main\java\net\adamcin\httpsig\api\DefaultVerifier.java;JUnit4;91;2;Unknown Test;testVerify;42-59;42-59
httpsig-java;DefaultVerifierTest;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\test\java\net\adamcin\httpsig\api\DefaultVerifierTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\main\java\net\adamcin\httpsig\api\DefaultVerifier.java;JUnit4;91;2;Unknown Test;testStrictVerify;62-88;62-88
httpsig-java;RequestContentTest;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\test\java\net\adamcin\httpsig\api\RequestContentTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\main\java\net\adamcin\httpsig\api\RequestContent.java;JUnit4;59;1;Conditional Test Logic;testTryParseDate;45-47;45-47
httpsig-java;RequestContentTest;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\test\java\net\adamcin\httpsig\api\RequestContentTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\main\java\net\adamcin\httpsig\api\RequestContent.java;JUnit4;59;1;Conditional Test Logic;testTryParseDate;55-57;55-57
httpsig-java;SignerTest;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\test\java\net\adamcin\httpsig\api\SignerTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\api\src\main\java\net\adamcin\httpsig\api\Signer.java;JUnit4;38;1;EmptyTest;testSign;34-37;34-37
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Unknown Test;signingShouldThrowIfUnsupportAlgorithm;98-106;98-106
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Unknown Test;verifyingReturnFalseIfUnsupportedAlgorithm;108-115;108-115
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Lazy Test;verifyingReturnFalseIfUnsupportedAlgorithm, signingShouldThrowIfUnsupportAlgorithm, shouldFailVerificationIfSignatureDoesNotMatch, shouldFailVerificationIfSigningAndVerifyingAlgorithmsAreDifferent, shouldCreateVerifiableSignature;112, 105, 93, 84, 75;112, 105, 93, 84, 75
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Lazy Test;verifyingReturnFalseIfUnsupportedAlgorithm, shouldFailVerificationIfSignatureDoesNotMatch, shouldFailVerificationIfSigningAndVerifyingAlgorithmsAreDifferent, shouldCreateVerifiableSignature;114, 95, 86, 77;114, 95, 86, 77
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Lazy Test;verifyingReturnFalseIfUnsupportedAlgorithm, signingShouldThrowIfUnsupportAlgorithm, shouldFailVerificationIfSignatureDoesNotMatch, shouldFailVerificationIfSigningAndVerifyingAlgorithmsAreDifferent, shouldCreateVerifiableSignature, shouldSupportHmacSha512, shouldSupportHmacSha256, shouldReturnSuppliedId, shouldBeAbleToSign, shouldBeAbleToVerify;110, 103, 91, 82, 73, 68, 63, 58, 53, 48;110, 103, 91, 82, 73, 68, 63, 58, 53, 48
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Eager Test;shouldCreateVerifiableSignature;73, 77;73, 77
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Eager Test;shouldFailVerificationIfSigningAndVerifyingAlgorithmsAreDifferent;82, 86;82, 86
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Eager Test;shouldFailVerificationIfSignatureDoesNotMatch;91, 95;91, 95
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Eager Test;signingShouldThrowIfUnsupportAlgorithm;103, 105;103, 105
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Eager Test;verifyingReturnFalseIfUnsupportedAlgorithm;110, 114;110, 114
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldBeAbleToVerify;48-48;48-48
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldBeAbleToSign;53-53;53-53
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldReturnSuppliedId;58-58;58-58
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldSupportHmacSha256;63-63;63-63
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldSupportHmacSha512;68-68;68-68
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldCreateVerifiableSignature;77-77;77-77
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldFailVerificationIfSigningAndVerifyingAlgorithmsAreDifferent;86-86;86-86
httpsig-java;HmacKeyTest;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\test\java\net\adamcin\httpsig\hmac\HmacKeyTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\hmac\src\main\java\net\adamcin\httpsig\hmac\HmacKey.java;JUnit4;116;12;Assertion Roulette;shouldFailVerificationIfSignatureDoesNotMatch;95-95;95-95
httpsig-java;Http3UtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\apache3\Http3UtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\apache3\Http3Util.java;JUnit4;115;4;Unknown Test;testLogin;55-82;55-82
httpsig-java;Http3UtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\apache3\Http3UtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\apache3\Http3Util.java;JUnit4;115;4;Unknown Test;testAllHeaders;84-114;84-114
httpsig-java;Http4UtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\apache4\Http4UtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\apache4\Http4Util.java;JUnit4;124;4;Unknown Test;testLogin;57-84;57-84
httpsig-java;Http4UtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\apache4\Http4UtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\apache4\Http4Util.java;JUnit4;124;4;Unknown Test;testAllHeaders;86-123;86-123
httpsig-java;Http4UtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\apache4\Http4UtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\apache4\Http4Util.java;JUnit4;124;4;Verbose Test;testAllHeaders;86-123;86-123
httpsig-java;AsyncUtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\ning\AsyncUtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\ning\AsyncUtil.java;JUnit4;143;5;Unknown Test;testLogin;63-91;63-91
httpsig-java;AsyncUtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\ning\AsyncUtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\ning\AsyncUtil.java;JUnit4;143;5;Unknown Test;testAllHeaders;93-142;93-142
httpsig-java;AsyncUtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\test\java\net\adamcin\httpsig\http\ning\AsyncUtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\http-helpers\src\main\java\net\adamcin\httpsig\http\ning\AsyncUtil.java;JUnit4;143;5;Verbose Test;testAllHeaders;93-142;93-142
httpsig-java;PEMUtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\ssh-bc\src\test\java\net\adamcin\httpsig\ssh\bc\PEMUtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\ssh-bc\src\main\java\net\adamcin\httpsig\ssh\bc\PEMUtil.java;JUnit4;74;2;Lazy Test;testEncryptedKey, testReadKey;67, 53;67, 53
httpsig-java;PEMUtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\ssh-bc\src\test\java\net\adamcin\httpsig\ssh\bc\PEMUtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\ssh-bc\src\main\java\net\adamcin\httpsig\ssh\bc\PEMUtil.java;JUnit4;74;2;Exception Catching Throwing;testReadKey;52-58;52-58
httpsig-java;PEMUtilTest;C:\Users\cebec\.jnose_projects\httpsig-java\ssh-bc\src\test\java\net\adamcin\httpsig\ssh\bc\PEMUtilTest.java;C:\Users\cebec\.jnose_projects\httpsig-java\ssh-bc\src\main\java\net\adamcin\httpsig\ssh\bc\PEMUtil.java;JUnit4;74;2;Exception Catching Throwing;testEncryptedKey;66-72;66-72
