projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
hydra;QueryEngineCacheTest;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\engine\QueryEngineCacheTest.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\engine\QueryEngineCache.java;JUnit4;139;6;Magic Number Test;stayUnderCacheMax;43;43
hydra;QueryEngineCacheTest;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\engine\QueryEngineCacheTest.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\engine\QueryEngineCache.java;JUnit4;139;6;Sleepy Test;stayUnderCacheMax;44-44;44-44
hydra;QueryEngineCacheTest;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\engine\QueryEngineCacheTest.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\engine\QueryEngineCache.java;JUnit4;139;6;Conditional Test Logic;stayUnderCacheMax;38-40;38-40
hydra;QueryEngineCacheTest;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\engine\QueryEngineCacheTest.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\engine\QueryEngineCache.java;JUnit4;139;6;Conditional Test Logic;stayUnderCacheMax;41-45;41-45
hydra;TestOpChangepoints;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\TestOpChangepoints.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\op\OpChangePoints.java;JUnit4;25;1;Unknown Test;testSort;20-24;20-24
hydra;TestOpCompare;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\TestOpCompare.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\op\OpCompare.java;JUnit4;34;1;Unknown Test;testMap;21-33;21-33
hydra;TestOpContains;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\TestOpContains.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\op\OpContains.java;JUnit4;34;1;Unknown Test;testMap;21-33;21-33
hydra;TestOpDateFormat;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\TestOpDateFormat.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\op\OpDateFormat.java;JUnit4;61;3;Unknown Test;testConvertDatesInPlace;21-32;21-32
hydra;TestOpDateFormat;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\TestOpDateFormat.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\op\OpDateFormat.java;JUnit4;61;3;Unknown Test;testConvertDatesDifferentColumn;34-45;34-45
hydra;TestOpDateFormat;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\test\java\com\addthis\hydra\data\query\TestOpDateFormat.java;C:\Users\cebec\.jnose_projects\hydra\hydra-data\src\main\java\com\addthis\hydra\data\query\op\OpDateFormat.java;JUnit4;61;3;Unknown Test;testParseUnixMillis;47-60;47-60
