projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Lazy Test;nonNullValidBarcodeReturnsCorrectNonZeroAmountForBill, nonNullValidBarcodeReturnsCorrectValidBillType, nonNullValidBarcodeReturnsNonNullValidBill, nonNullInvalidBarcodeReturnsNullBill, nullBarcodeReturnsNullBill;74, 62, 48, 42, 37;74, 62, 48, 42, 37
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Lazy Test;nonNullValidBillIdWithNonNullValidPaymentIdReturnCorrectNonZeroAmountForBill, nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType, nonNullInvalidBillIdWithNonNullValidPaymentIdReturnsNullBill, nonNullValidBillIdWithNonNullInvalidPaymentIdReturnsNullBill, nullBillIdAndNullPaymentIdReturnsNullBill, nullPaymentIdReturnsNullBill, nullBillIdReturnsNullBill;132, 118, 112, 106, 100, 93, 86;132, 118, 112, 106, 100, 93, 86
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Lazy Test;nonNullValidPaymentIdWithLeadingZeroesValidationReturnsTrue, nonNullInvalidPaymentIdWithLeadingZeroesValidationReturnsFalse, nonNullValidPaymentIdValidationReturnsTrue, nonNullInvalidPaymentIdValidationReturnsFalse, nullPaymentIdValidationReturnsFalse;178, 173, 168, 163, 158;178, 173, 168, 163, 158
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Lazy Test;nonNullValidBillIdValidationReturnsTrue, nonNullInvalidBillIdValidationReturnsFalse, nullBillIdValidationReturnsFalse;153, 148, 143;153, 148, 143
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nullBarcodeReturnsNullBill;37-37;37-37
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullInvalidBarcodeReturnsNullBill;42-42;42-42
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsNonNullValidBill;50-50;50-50
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsNonNullValidBill;51-51;51-51
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsNonNullValidBill;52-52;52-52
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsNonNullValidBill;53-53;53-53
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsNonNullValidBill;54-54;54-54
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsNonNullValidBill;55-55;55-55
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsNonNullValidBill;56-56;56-56
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectValidBillType;64-64;64-64
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectValidBillType;65-65;65-65
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectValidBillType;66-66;66-66
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectValidBillType;67-67;67-67
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectValidBillType;68-68;68-68
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectNonZeroAmountForBill;75-75;75-75
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectNonZeroAmountForBill;76-76;76-76
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectNonZeroAmountForBill;77-77;77-77
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBarcodeReturnsCorrectNonZeroAmountForBill;78-78;78-78
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nullBillIdReturnsNullBill;87-87;87-87
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nullPaymentIdReturnsNullBill;94-94;94-94
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nullBillIdAndNullPaymentIdReturnsNullBill;101-101;101-101
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullInvalidPaymentIdReturnsNullBill;107-107;107-107
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullInvalidBillIdWithNonNullValidPaymentIdReturnsNullBill;113-113;113-113
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType;120-120;120-120
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType;121-121;121-121
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType;122-122;122-122
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType;123-123;123-123
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType;124-124;124-124
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType;125-125;125-125
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnsValidNotUnknownBillType;126-126;126-126
irbill;IrBillTest;C:\Users\cebec\.jnose_projects\irbill\src\test\java\io\github\the724\IrBillTest.java;C:\Users\cebec\.jnose_projects\irbill\src\main\java\io\github\the724\IrBill.java;JUnit4;180;32;Assertion Roulette;nonNullValidBillIdWithNonNullValidPaymentIdReturnCorrectNonZeroAmountForBill;133-133;133-133
