projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
itext2;PdfVersionTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\examples\general\faq\PdfVersionTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\pdf\interfaces\PdfVersion.java;JUnit4;53;1;Unknown Test;main;33-52;33-52
itext2;HyphenationTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\examples\objects\chunk\HyphenationTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\pdf\hyphenation\Hyphenation.java;JUnit4;78;1;Unknown Test;main;39-77;39-77
itext2;HyphenationTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\examples\objects\chunk\HyphenationTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\pdf\hyphenation\Hyphenation.java;JUnit4;78;1;Verbose Test;main;39-77;39-77
itext2;FactoryPropertiesTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\simpleparser\FactoryPropertiesTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\simpleparser\FactoryProperties.java;JUnit4;22;1;Assertion Roulette;shouldCreateRelativeLeadingForLineHeightNUmber;20-20;20-20
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Lazy Test;testHSLAAlias, testHSLA, testHSL, testRGBFloatValues, testRGBAAlias, testRGBAlpha, testRGBSpaces, testRGBPercentage, testRGB, testHexadecimalBadFormats3, testHexadecimalBadFormats2, testHexadecimalBadFormats1, testHexadecimalSintaxWithAlpha, testHexadecimalSintax, testTransparency, testBlankName, testEmptyName, testNullName;159, 158, 157, 156, 147, 146, 145, 144, 137, 136, 135, 134, 133, 132, 126, 125, 124, 118, 117, 116, 115, 112, 111, 110, 109, 104, 103, 102, 101, 98, 97, 96, 95, 89, 83, 82, 77, 76, 70, 65, 60, 55, 54, 53, 52, 45, 44, 43, 42, 33, 27, 22, 17;159, 158, 157, 156, 147, 146, 145, 144, 137, 136, 135, 134, 133, 132, 126, 125, 124, 118, 117, 116, 115, 112, 111, 110, 109, 104, 103, 102, 101, 98, 97, 96, 95, 89, 83, 82, 77, 76, 70, 65, 60, 55, 54, 53, 52, 45, 44, 43, 42, 33, 27, 22, 17
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testTransparency;35-35;35-35
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintax;42-42;42-42
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintax;43-43;43-43
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintax;44-44;44-44
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintax;45-45;45-45
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintaxWithAlpha;52-52;52-52
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintaxWithAlpha;53-53;53-53
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintaxWithAlpha;54-54;54-54
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testHexadecimalSintaxWithAlpha;55-55;55-55
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGB;76-76;76-76
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGB;77-77;77-77
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBPercentage;82-82;82-82
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBPercentage;83-83;83-83
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBSpaces;89-89;89-89
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBAlpha;95-95;95-95
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBAlpha;96-96;96-96
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBAlpha;97-97;97-97
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBAlpha;98-98;98-98
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBAlpha;101-101;101-101
itext2;WebColorsTest;C:\Users\cebec\.jnose_projects\itext2\src\test\java\com\lowagie\text\html\WebColorsTest.java;C:\Users\cebec\.jnose_projects\itext2\src\main\java\com\lowagie\text\html\WebColors.java;JUnit4;165;19;Assertion Roulette;testRGBAlpha;102-102;102-102
