projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
j1st-mqtt;TopicsTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-api\src\test\java\com\github\j1stiot\mqtt\util\TopicsTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-api\src\main\java\com\github\j1stiot\mqtt\util\Topics.java;JUnit4;122;15;Lazy Test;sanitizeTopicNameTest, sanitizeTopicNameFail03, sanitizeTopicNameFail02, sanitizeTopicNameFail01, sanitizeTopicNameFail00;78, 77, 76, 75, 70, 65, 60, 55;78, 77, 76, 75, 70, 65, 60, 55
j1st-mqtt;TopicsTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-api\src\test\java\com\github\j1stiot\mqtt\util\TopicsTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-api\src\main\java\com\github\j1stiot\mqtt\util\Topics.java;JUnit4;122;15;Lazy Test;sanitizeTopicFilterTest, sanitizeTopicFilterFail06, sanitizeTopicFilterFail05, sanitizeTopicFilterFail03, sanitizeTopicFilterFail02, sanitizeTopicFilterFail01, sanitizeTopicFilterFail00;50, 49, 48, 47, 46, 45, 44, 39, 34, 29, 24, 19, 14;50, 49, 48, 47, 46, 45, 44, 39, 34, 29, 24, 19, 14
j1st-mqtt;MqttVersionTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-api\src\test\java\io\netty\handler\codec\mqtt\MqttVersionTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-api\src\main\java\io\netty\handler\codec\mqtt\MqttVersion.java;JUnit4;17;1;Unknown Test;test;10-16;10-16
j1st-mqtt;ValidatorTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-broker\src\test\java\com\github\j1stiot\mqtt\broker\util\ValidatorTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-http\src\main\java\com\github\j1stiot\mqtt\http\util\Validator.java;JUnit4;47;4;Unknown Test;isClientIdValidTest;25-31;25-31
j1st-mqtt;ValidatorTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-broker\src\test\java\com\github\j1stiot\mqtt\broker\util\ValidatorTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-http\src\main\java\com\github\j1stiot\mqtt\http\util\Validator.java;JUnit4;47;4;Unknown Test;isTopicValidTest;33-46;33-46
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;connectedTest;56-90;56-90
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;sessionExistTest;92-101;92-101
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;packetIdTest;103-114;103-114
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;inFlightTest;116-210;116-210
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;qos2Test;212-236;212-236
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;subscriptionTest;238-265;238-265
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;matchTopicFilterTest;267-294;267-294
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;retainTest;296-347;296-347
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Unknown Test;matchRetainTest;349-389;349-389
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Verbose Test;connectedTest;56-90;56-90
j1st-mqtt;RedisSyncSingleStorageTest;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\test\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorageTest.java;C:\Users\cebec\.jnose_projects\j1st-mqtt\j1st-mqtt-storage-redis\src\main\java\com\github\j1stiot\mqtt\storage\redis\sync\RedisSyncSingleStorage.java;JUnit4;390;13;Verbose Test;inFlightTest;116-210;116-210
