projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jafka;AdminOperationTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\admin\AdminOperationTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\admin\AdminOperation.java;JUnit4;139;9;Magic Number Test;testCreatePartitions;121;121
jafka;AdminOperationTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\admin\AdminOperationTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\admin\AdminOperation.java;JUnit4;139;9;Magic Number Test;testCreatePartitions;123;123
jafka;AdminOperationTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\admin\AdminOperationTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\admin\AdminOperation.java;JUnit4;139;9;Magic Number Test;testDeleteTopic;136;136
jafka;AdminOperationTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\admin\AdminOperationTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\admin\AdminOperation.java;JUnit4;139;9;Assertion Roulette;testCreatePartitions;119-119;119-119
jafka;AdminOperationTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\admin\AdminOperationTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\admin\AdminOperation.java;JUnit4;139;9;Assertion Roulette;testCreatePartitions;121-121;121-121
jafka;AdminOperationTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\admin\AdminOperationTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\admin\AdminOperation.java;JUnit4;139;9;Assertion Roulette;testCreatePartitions;123-123;123-123
jafka;AdminOperationTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\admin\AdminOperationTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\admin\AdminOperation.java;JUnit4;139;9;Assertion Roulette;testDeleteTopic;136-136;136-136
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;Magic Number Test;testGetSizeInBytes;47;47
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;Assertion Roulette;testGetSizeInBytes;47-47;47-47
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;Assertion Roulette;testWriteTo;58-58;58-58
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;Assertion Roulette;testReadFrom;79-79;79-79
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;Assertion Roulette;testReadFrom;80-80;80-80
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;Assertion Roulette;testReadFrom;81-81;81-81
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;Assertion Roulette;testReadFrom;82-82;82-82
jafka;FetchRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\FetchRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\FetchRequest.java;JUnit4;86;5;General Fixture;createRequest;39;39
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Magic Number Test;testGetSizeInBytes;86;86
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Sensitive Equality;testReadFrom;65-65;65-65
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Sensitive Equality;testReadFrom;67-67;67-67
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Lazy Test;testWriteTo, testGetSizeInBytes;105, 86;105, 86
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Lazy Test;testWriteTo, testReadFrom;102, 60;102, 60
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Lazy Test;testWriteTo, testGetSizeInBytes;96, 85;96, 85
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Duplicate Assert;testReadFrom;64, 66;64, 66
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Eager Test;testGetSizeInBytes;85, 86;85, 86
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Eager Test;testWriteTo;102, 105;102, 105
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testReadFrom;61-61;61-61
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testReadFrom;62-62;62-62
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testReadFrom;64-64;64-64
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testReadFrom;65-65;65-65
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testReadFrom;66-66;66-66
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testReadFrom;67-67;67-67
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testReadFrom;68-68;68-68
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testGetSizeInBytes;86-86;86-86
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testWriteTo;103-103;103-103
jafka;ProducerRequestTest;C:\Users\cebec\.jnose_projects\jafka\src\test\java\io\jafka\api\ProducerRequestTest.java;C:\Users\cebec\.jnose_projects\jafka\src\main\java\io\jafka\api\ProducerRequest.java;JUnit4;108;4;Assertion Roulette;testWriteTo;104-104;104-104
