projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
java-after-eight;GenealogyTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\GenealogyTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Genealogy.java;JUnit5;162;29;Lazy Test;twoGenealogists_threePosts, oneGenealogist_threePosts, otherGenealogist_twoPosts, oneGenealogist_twoPosts;145, 126, 111, 96;145, 126, 111, 96
java-after-eight;GenealogyTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\GenealogyTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Genealogy.java;JUnit5;162;29;Assertion Roulette;oneGenealogist_twoPosts;103-103;103-103
java-after-eight;GenealogyTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\GenealogyTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Genealogy.java;JUnit5;162;29;Assertion Roulette;otherGenealogist_twoPosts;118-118;118-118
java-after-eight;GenealogyTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\GenealogyTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Genealogy.java;JUnit5;162;29;Assertion Roulette;oneGenealogist_threePosts;133-133;133-133
java-after-eight;GenealogyTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\GenealogyTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Genealogy.java;JUnit5;162;29;Assertion Roulette;twoGenealogists_threePosts;152-152;152-152
java-after-eight;GenealogyTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\GenealogyTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Genealogy.java;JUnit5;162;29;Constructor Initialization;GenealogyTests;51-56;51-56
java-after-eight;RelationTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\RelationTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Relation.java;JUnit5;79;11;Assertion Roulette;singleTypedRelation_weightOne_samePostsAndScore;49-49;49-49
java-after-eight;RelationTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\RelationTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Relation.java;JUnit5;79;11;Assertion Roulette;singleTypedRelation_weightOne_samePostsAndScore;50-50;50-50
java-after-eight;RelationTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\RelationTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Relation.java;JUnit5;79;11;Assertion Roulette;singleTypedRelation_weightOne_samePostsAndScore;51-51;51-51
java-after-eight;RelationTests;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\test\java\org\codefx\java_after_eight\genealogy\RelationTests.java;C:\Users\cebec\.jnose_projects\java-after-eight\genealogy\src\main\java\org\codefx\java_after_eight\genealogy\Relation.java;JUnit5;79;11;Assertion Roulette;twoTypedRelation_weightOne_averagedScore;63-63;63-63
