projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Magic Number Test;testLookup;46;46
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Magic Number Test;testMerge;65;65
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Magic Number Test;testDiff;87;87
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Duplicate Assert;testMerge;66, 68;66, 68
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testLookup;46-46;46-46
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testLookup;47-47;47-47
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testLookup;48-48;48-48
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testLookup;49-49;49-49
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testMerge;65-65;65-65
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testMerge;66-66;66-66
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testMerge;67-67;67-67
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testMerge;68-68;68-68
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testMerge;72-72;72-72
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testDiff;87-87;87-87
java-crdt;GSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\GSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\GSet.java;JUnit4;90;3;Assertion Roulette;testDiff;88-88;88-88
java-crdt;LWWSetTests;C:\Users\cebec\.jnose_projects\java-crdt\src\test\java\io\dmitryivanov\crdt\LWWSetTests.java;C:\Users\cebec\.jnose_projects\java-crdt\src\main\java\io\dmitryivanov\crdt\LWWSet.java;JUnit4;117;3;Magic Number Test;testLookup;51;51
