projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Magic Number Test;returnsCompletions;66;66
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsTemplateForSpecifiedExpression;47-47;47-47
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsTemplateForSpecifiedExpression;48-48;48-48
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsResultAfterExecuting;55-55;55-55
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsResultAfterExecuting;56-56;56-56
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsResultAfterExecuting;57-57;57-57
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsCompletions;65-65;65-65
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsCompletions;66-66;66-66
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsCompletions;67-67;67-67
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsHistory;76-76;76-76
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;returnsVersion;81-81;81-81
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;Assertion Roulette;checksIfEndpointIsAlive;86-86;86-86
java-repl;JavaREPLClientTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\client\JavaREPLClientTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\client\JavaREPLClient.java;JUnit4;88;10;General Fixture;setUp;32;32
java-repl;AggregateCompleterTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\completion\AggregateCompleterTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\completion\AggregateCompleter.java;JUnit4;21;1;Eager Test;shouldAggregateCompletions;13, 19;13, 19
java-repl;AggregateCompleterTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\completion\AggregateCompleterTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\completion\AggregateCompleter.java;JUnit4;21;1;Assertion Roulette;shouldAggregateCompletions;17-17;17-17
java-repl;AggregateCompleterTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\completion\AggregateCompleterTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\completion\AggregateCompleter.java;JUnit4;21;1;Assertion Roulette;shouldAggregateCompletions;18-18;18-18
java-repl;AggregateCompleterTest;C:\Users\cebec\.jnose_projects\java-repl\test\javarepl\completion\AggregateCompleterTest.java;C:\Users\cebec\.jnose_projects\java-repl\src\javarepl\completion\AggregateCompleter.java;JUnit4;21;1;Assertion Roulette;shouldAggregateCompletions;19-19;19-19
