projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Unknown Test;forCoverage;18-21;18-21
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_1;135;135
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_2;140;140
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_3;148;148
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_4;157;157
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_5;167;167
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_6;178;178
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_7;190;190
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_8;203;203
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_9;217;217
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Magic Number Test;testMapOf_10;232;232
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOfEntries;30-30;30-30
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOfEntries_empty;37-37;37-37
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapping;51-51;51-51
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;combineMaps;73-73;73-73
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;combineMaps_summingOnDuplicate;86-86;86-86
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;combineMapsAndSkip_duplicateKeys_selectsFirst;93-93;93-93
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOfLists;103-103;103-103
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOf_1;135-135;135-135
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOf_2;140-140;140-140
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOf_3;148-148;148-148
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOf_4;157-157;157-157
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOf_5;167-167;167-167
java8-utils;NMapsTest;C:\Users\cebec\.jnose_projects\java8-utils\src\test\java\com\nitorcreations\collections\NMapsTest.java;C:\Users\cebec\.jnose_projects\java8-utils\src\main\java\com\nitorcreations\collections\NMaps.java;JUnit4;250;27;Assertion Roulette;testMapOf_6;178-178;178-178
