projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
javaPS;AnnotatedAlgorithmMetadataTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\algorithm\annotation\AnnotatedAlgorithmMetadataTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\algorithm\annotation\AnnotatedAlgorithmMetadata.java;JUnit4;334;9;Eager Test;test;73, 74;73, 74
javaPS;AnnotatedAlgorithmMetadataTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\algorithm\annotation\AnnotatedAlgorithmMetadataTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\algorithm\annotation\AnnotatedAlgorithmMetadata.java;JUnit4;334;9;Exception Catching Throwing;test;86-90;86-90
javaPS;FileBasedResultPersistenceTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\engine\impl\FileBasedResultPersistenceTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\engine\impl\FileBasedResultPersistence.java;JUnit4;125;1;Verbose Test;testSaveBase64;49-123;49-123
javaPS;FileBasedResultPersistenceTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\engine\impl\FileBasedResultPersistenceTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\engine\impl\FileBasedResultPersistence.java;JUnit4;125;1;Duplicate Assert;testSaveBase64;97, 105, 120;97, 105, 120
javaPS;FileBasedResultPersistenceTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\engine\impl\FileBasedResultPersistenceTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\engine\impl\FileBasedResultPersistence.java;JUnit4;125;1;Exception Catching Throwing;testSaveBase64;58-63;58-63
javaPS;FileBasedResultPersistenceTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\engine\impl\FileBasedResultPersistenceTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\engine\impl\FileBasedResultPersistence.java;JUnit4;125;1;Exception Catching Throwing;testSaveBase64;94-98;94-98
javaPS;FileBasedResultPersistenceTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\engine\impl\FileBasedResultPersistenceTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\engine\impl\FileBasedResultPersistence.java;JUnit4;125;1;Exception Catching Throwing;testSaveBase64;102-106;102-106
javaPS;FileBasedResultPersistenceTest;C:\Users\cebec\.jnose_projects\javaPS\engine\src\test\java\org\n52\javaps\engine\impl\FileBasedResultPersistenceTest.java;C:\Users\cebec\.jnose_projects\javaPS\engine\src\main\java\org\n52\javaps\engine\impl\FileBasedResultPersistence.java;JUnit4;125;1;Exception Catching Throwing;testSaveBase64;110-121;110-121
javaPS;ExecuteDeserializerTest;C:\Users\cebec\.jnose_projects\javaPS\rest\src\test\java\org\n52\javaps\rest\io\ExecuteDeserializerTest.java;C:\Users\cebec\.jnose_projects\javaPS\rest\src\main\java\org\n52\javaps\rest\deserializer\ExecuteDeserializer.java;JUnit4;221;6;Magic Number Test;testEmptyFormatComplexDataValue;74;74
javaPS;ExecuteDeserializerTest;C:\Users\cebec\.jnose_projects\javaPS\rest\src\test\java\org\n52\javaps\rest\io\ExecuteDeserializerTest.java;C:\Users\cebec\.jnose_projects\javaPS\rest\src\main\java\org\n52\javaps\rest\deserializer\ExecuteDeserializer.java;JUnit4;221;6;Magic Number Test;testEmptyFormatComplexDataValue;75;75
