projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
javabrake;WeatherApplicationTests;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\test\java\io\airbrake\weather\WeatherApplicationTests.java;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\main\java\io\airbrake\weather\WeatherApplication.java;JUnit5;49;5;Assertion Roulette;getDate;23-23;23-23
javabrake;WeatherApplicationTests;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\test\java\io\airbrake\weather\WeatherApplicationTests.java;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\main\java\io\airbrake\weather\WeatherApplication.java;JUnit5;49;5;Assertion Roulette;getLocations;29-29;29-29
javabrake;WeatherApplicationTests;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\test\java\io\airbrake\weather\WeatherApplicationTests.java;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\main\java\io\airbrake\weather\WeatherApplication.java;JUnit5;49;5;Assertion Roulette;getWeather;35-35;35-35
javabrake;WeatherApplicationTests;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\test\java\io\airbrake\weather\WeatherApplicationTests.java;C:\Users\cebec\.jnose_projects\javabrake\examples\springboot\src\main\java\io\airbrake\weather\WeatherApplication.java;JUnit5;49;5;Assertion Roulette;checkIfWeatherIsNotAvailable;47-47;47-47
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Magic Number Test;testBuildNotice;37;37
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Magic Number Test;testNotifierBacklog;154;154
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Sensitive Equality;testFilterData;62-64;62-64
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Sensitive Equality;testReportAsync;76-76;76-76
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Sensitive Equality;testReportServerDown;88-90;88-90
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Sensitive Equality;testRateLimit;123-123;123-123
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Sleepy Test;testNotifierBacklog;148-148;148-148
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Eager Test;testFilterData;52, 60;52, 60
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Assertion Roulette;testBuildNotice;37-37;37-37
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Assertion Roulette;testBuildNotice;39-39;39-39
javabrake;NotifierTest;C:\Users\cebec\.jnose_projects\javabrake\src\test\java\io\airbrake\javabrake\NotifierTest.java;C:\Users\cebec\.jnose_projects\javabrake\src\main\java\io\airbrake\javabrake\Notifier.java;JUnit5;161;12;Assertion Roulette;testBuildNotice;40-40;40-40
