projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Unknown Test;allCharsetsCanBeCreated;35-41;35-41
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Unknown Test;listEncodings;96-109;96-109
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Magic Number Test;zeroCodeReturnsNull;44;44
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Verbose Test;allRegisteredCodesReturnsNotNull;47-85;47-85
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Lazy Test;testEncodings, testRussianAndNordicEncodingsBug35, t1;140, 139, 137, 136, 128, 122, 92, 91;140, 139, 137, 136, 128, 122, 92, 91
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Lazy Test;testRussianAndNordicEncodingsBug35, allRegisteredCodesReturnsNotNull, zeroCodeReturnsNull, allCharsetsCanBeCreated;129, 123, 82, 44, 39;129, 123, 82, 44, 39
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;zeroCodeReturnsNull;44-44;44-44
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;allRegisteredCodesReturnsNotNull;82-82;82-82
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;t1;91-91;91-91
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;t1;92-92;92-92
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testRussianAndNordicEncodingsBug35;122-122;122-122
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testRussianAndNordicEncodingsBug35;123-123;123-123
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testRussianAndNordicEncodingsBug35;128-128;128-128
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testRussianAndNordicEncodingsBug35;129-129;129-129
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testEncodings;136-136;136-136
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testEncodings;137-137;137-137
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testEncodings;139-139;139-139
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Assertion Roulette;testEncodings;140-140;140-140
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Conditional Test Logic;allCharsetsCanBeCreated;38-40;38-40
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Conditional Test Logic;allRegisteredCodesReturnsNotNull;81-83;81-83
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Conditional Test Logic;listEncodings;104-106;104-106
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Conditional Test Logic;listEncodings;101-107;101-107
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Constructor Initialization;DBFCharsetHelperTest;31-33;31-33
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Print Statement;listEncodings;103;103
javadbf;DBFCharsetHelperTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFCharsetHelperTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFCharsetHelper.java;JUnit5;146;8;Print Statement;listEncodings;105;105
javadbf;DBFDataTypeTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFDataTypeTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFDataType.java;JUnit5;39;2;Assertion Roulette;testValueOf;31-31;31-31
javadbf;DBFFieldTest;C:\Users\cebec\.jnose_projects\javadbf\src\test\java\com\linuxense\javadbf\DBFFieldTest.java;C:\Users\cebec\.jnose_projects\javadbf\src\main\java\com\linuxense\javadbf\DBFField.java;JUnit5;144;13;Magic Number Test;testValidFieldLength;105;105
