projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Lazy Test;testBuildTimeDuration08, testBuildTimeDuration07, testBuildTimeDuration06, testBuildTimeDuration05, testBuildTimeDuration04, testBuildTimeDuration03, testBuildTimeDuration02, testBuildTimeDuration01, testBuildTimeDuration00;96, 87, 78, 69, 60, 51, 42, 33, 24;96, 87, 78, 69, 60, 51, 42, 33, 24
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration00;25-25;25-25
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration01;34-34;34-34
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration02;43-43;43-43
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration03;52-52;52-52
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration04;61-61;61-61
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration05;70-70;70-70
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration06;79-79;79-79
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration07;88-88;88-88
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Assertion Roulette;testBuildTimeDuration08;97-97;97-97
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Constructor Initialization;UtilsTest;17-17;17-17
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration00;21;21
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration01;30;30
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration02;39;39
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration03;48;48
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration04;57;57
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration05;66;66
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration06;75;75
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration07;84;84
jave2;UtilsTest;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\test\java\ws\schild\jave\UtilsTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\utils\Utils.java;JUnit5;99;10;Print Statement;testBuildTimeDuration08;93;93
jave2;ConversionOutputAnalyzerTest;C:\Users\cebec\.jnose_projects\jave2\jave-core-test\src\test\java\ws\schild\jave\ConversionOutputAnalyzerTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\ConversionOutputAnalyzer.java;JUnit5;64;2;Resource Optimism;testAnalyzeNewLine1;37-63;37-63
jave2;ConversionOutputAnalyzerTest;C:\Users\cebec\.jnose_projects\jave2\jave-core-test\src\test\java\ws\schild\jave\ConversionOutputAnalyzerTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\ConversionOutputAnalyzer.java;JUnit5;64;2;Eager Test;testAnalyzeNewLine1;41, 51;41, 51
jave2;ConversionOutputAnalyzerTest;C:\Users\cebec\.jnose_projects\jave2\jave-core-test\src\test\java\ws\schild\jave\ConversionOutputAnalyzerTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\ConversionOutputAnalyzer.java;JUnit5;64;2;Assertion Roulette;testAnalyzeNewLine1;53-53;53-53
jave2;ConversionOutputAnalyzerTest;C:\Users\cebec\.jnose_projects\jave2\jave-core-test\src\test\java\ws\schild\jave\ConversionOutputAnalyzerTest.java;C:\Users\cebec\.jnose_projects\jave2\jave-core\src\main\java\ws\schild\jave\ConversionOutputAnalyzer.java;JUnit5;64;2;Conditional Test Logic;testAnalyzeNewLine1;48-50;48-50
