projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Magic Number Test;intValue;47;47
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Magic Number Test;notExistingInteger;67;67
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;injectUnknownValue;29-29;29-29
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;injectConfiguredValue;35-35;35-35
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;customNamedValue;41-41;41-41
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;intValue;47-47;47-47
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;longValue;52-52;52-52
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;booleanValue;57-57;57-57
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;notExistingBoolean;62-62;62-62
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;notExistingInteger;67-67;67-67
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;notExistingLong;72-72;72-72
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit4;80;12;Assertion Roulette;notExistingString;77-77;77-77
jc2;ConfiguratorTest;C:\Users\cebec\.jnose_projects\jc2\jc2-env-vars\src\test\java\com\airhacks\jc2\configuration\boundary\ConfiguratorTest.java;C:\Users\cebec\.jnose_projects\jc2\jc2\src\main\java\com\airhacks\jc2\configuration\boundary\Configurator.java;JUnit3;24;2;Assertion Roulette;javaHome;21-21;21-21
