projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Magic Number Test;testGenerateC53;39;39
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Sensitive Equality;testGenerateC53;39-40;39-40
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Sensitive Equality;testGet;57-58;57-58
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Sensitive Equality;testCompareWithRosenGenerator;73-74;73-74
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Lazy Test;testCompareWithRosenGenerator, testGet, testGenerateC53;72, 56, 38;72, 56, 38
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Lazy Test;testCompareWithRosenGenerator, testGet, testGenerateC53;69, 54, 36;69, 54, 36
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Eager Test;testGenerateC53;36, 38;36, 38
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Eager Test;testGet;54, 56;54, 56
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Eager Test;testCompareWithRosenGenerator;69, 72;69, 72
jcombinatorics;CombinadicCombinationsGeneratorTest;C:\Users\cebec\.jnose_projects\jcombinatorics\src\test\java\jcombinatorics\combinations\CombinadicCombinationsGeneratorTest.java;C:\Users\cebec\.jnose_projects\jcombinatorics\src\main\java\jcombinatorics\combinations\CombinadicCombinationsGenerator.java;JUnit4;81;4;Assertion Roulette;testGenerateC53;39-40;39-40
