projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Resource Optimism;testDbHelper;158-213;158-213
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Magic Number Test;testDbHelper;177;177
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Magic Number Test;testDbHelper;192;192
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Magic Number Test;testDbHelper;212;212
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Verbose Test;testListenAlert;85-156;85-156
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Verbose Test;testDbHelper;158-213;158-213
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Sleepy Test;testService;81-81;81-81
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Sleepy Test;testListenAlert;155-155;155-155
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Assertion Roulette;testService;80-80;80-80
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Assertion Roulette;testListenAlert;87-87;87-87
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Assertion Roulette;testDbHelper;166-166;166-166
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Assertion Roulette;testDbHelper;177-177;177-177
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Assertion Roulette;testDbHelper;192-192;192-192
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Assertion Roulette;testDbHelper;212-212;212-212
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Conditional Test Logic;testDbHelper;171-174;171-174
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Conditional Test Logic;testDbHelper;186-189;186-189
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Conditional Test Logic;testDbHelper;206-209;206-209
jed2k;ED2KServiceTest;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\androidTest\java\org\dkf\jed2k\ED2KServiceTest.java;C:\Users\cebec\.jnose_projects\jed2k\android\jdonkey\src\main\java\org\dkf\jmule\ED2KService.java;JUnit3;249;9;Exception Catching Throwing;testDbHelper;170-175;170-175
