projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatEmpty;36-36;36-36
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatEmpty;39-39;39-39
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatEmpty;45-45;45-45
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatEmpty;48-48;48-48
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatJumpLocal;61-61;61-61
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatJumpLocal;64-64;64-64
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatJumpLocal;70-70;70-70
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatJumpLocal;73-73;73-73
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressJumpLocal2;87-87;87-87
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressJumpLocal2;90-90;90-90
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressJumpLocal2;96-96;96-96
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressJumpLocal2;99-99;99-99
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressJumpLocal2;102-102;102-102
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressJumpForeign;113-113;113-113
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressJumpForeign;119-119;119-119
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressNotJump;130-130;130-130
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressNotJump;136-136;136-136
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressNotJump2;147-147;147-147
jitwatch;TestAssemblyLabels;C:\Users\cebec\.jnose_projects\jitwatch\core\src\test\java\org\adoptopenjdk\jitwatch\test\TestAssemblyLabels.java;C:\Users\cebec\.jnose_projects\jitwatch\core\src\main\java\org\adoptopenjdk\jitwatch\model\assembly\AssemblyLabels.java;JUnit4;179;9;Sensitive Equality;testFormatAddressNotJump2;153-153;153-153
