projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
jmstool;AsyncMessageSenderTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\AsyncMessageSenderTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\AsyncMessageSender.java;JUnit4;79;8;Unknown Test;jmsExceptionIncreasesTotalErrorCount;71-78;71-78
jmstool;AsyncMessageSenderTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\AsyncMessageSenderTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\AsyncMessageSender.java;JUnit4;79;8;Duplicate Assert;sendMessage;56, 68;56, 68
jmstool;AsyncMessageSenderTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\AsyncMessageSenderTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\AsyncMessageSender.java;JUnit4;79;8;Assertion Roulette;sendMessage;56-56;56-56
jmstool;AsyncMessageSenderTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\AsyncMessageSenderTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\AsyncMessageSender.java;JUnit4;79;8;Assertion Roulette;sendMessage;68-68;68-68
jmstool;ConnectionFactoryDecoratingPostProcessorTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\ConnectionFactoryDecoratingPostProcessorTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\ConnectionFactoryDecoratingPostProcessor.java;JUnit4;31;3;Assertion Roulette;testNonCaching;29-29;29-29
jmstool;JmsMessageListenerTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\JmsMessageListenerTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\JmsMessageListener.java;JUnit4;113;8;Assertion Roulette;shouldAddNewMessageToStorage;42-42;42-42
jmstool;JmsMessageListenerTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\JmsMessageListenerTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\JmsMessageListener.java;JUnit4;113;8;Assertion Roulette;shouldAddNewMessageToStorage;45-45;45-45
jmstool;JmsMessageListenerTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\JmsMessageListenerTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\JmsMessageListener.java;JUnit4;113;8;Assertion Roulette;shouldAddNewMessageToStorage;46-46;46-46
jmstool;JmsMessageListenerTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\JmsMessageListenerTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\JmsMessageListener.java;JUnit4;113;8;Assertion Roulette;shouldAddNewUTF8BytesMessageToStorage;58-58;58-58
jmstool;JmsMessageListenerTest;C:\Users\cebec\.jnose_projects\jmstool\backend\src\test\java\jmstool\jms\JmsMessageListenerTest.java;C:\Users\cebec\.jnose_projects\jmstool\backend\src\main\java\jmstool\jms\JmsMessageListener.java;JUnit4;113;8;Assertion Roulette;shouldAddNewUTF8BytesMessageToStorage;61-61;61-61
