projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Unknown Test;testLargeGraph;179-197;179-197
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testJohnson;38;38
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testJohnson2;62;62
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testJohnson2;63;63
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testJohnson2;64;64
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testJohnson2;65;65
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testSubGraphFrom;80;80
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testSubGraphFrom;81;81
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testTwoTernaryCycles;119;119
johnson;TestJohnson;C:\Users\cebec\.jnose_projects\johnson\src\test\java\jgraphalgos\johnson\TestJohnson.java;C:\Users\cebec\.jnose_projects\johnson\src\main\java\jgraphalgos\johnson\Johnson.java;JUnit4;200;8;Magic Number Test;testJohnson3;136;136
